"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"1 No. Burgaon","","","","","1","11","360","192","168","53.33"
"1 No. Murkata","","","","","1","3","210","82","128","39.05"
"1.No. Bangalbori","","","","","1","3","349","253","96","72.49"
"1.No. Borkur","","","","","1","1","96","96","0","100.00"
"1.No. Borpathar","","","","","1","3","264","235","29","89.02"
"1.No. Dungabori","","","","","1","6","443","181","262","40.86"
"1.No. Gagalmari","","","","","1","2","209","179","30","85.65"
"1.No. Jhaogarh","","","","","1","1","24","24","0","100.00"
"2.No. Bangalbori","","","","","1","5","331","222","109","67.07"
"2.No. Barunguri Beel","","","","","1","1","21","21","0","100.00"
"2.No. Borjari","","","","","1","4","182","64","118","35.16"
"2.No. Borkur","","","","","1","1","71","71","0","100.00"
"2.No. Borpathar","","","","","1","7","190","97","93","51.05"
"2.No. Burgaon","","","","","1","4","233","153","80","65.67"
"2.No. Dungabori","","","","","1","2","282","250","32","88.65"
"2.No. Gagalmari","","","","","1","4","190","115","75","60.53"
"2.No. Murkata","","","","","1","3","237","167","70","70.46"
"3.No. Ghonsimloo","","","","","1","1","88","88","0","100.00"
"Ahatguri","","","","","1","5","336","183","153","54.46"
"Ahatguri Pam","","","","","1","1","137","137","0","100.00"
"Ahaturi Natua Gaon","","","","","1","6","409","319","90","78.00"
"Ajarbari","","","","","1","6","242","120","122","49.59"
"Alisinga","","","","","1","10","438","291","147","66.44"
"Amaraguri","","","","","1","5","528","355","173","67.23"
"Amaraguri","","","","","1","5","229","90","139","39.30"
"Amguri","","","","","1","4","183","150","33","81.97"
"Amzari","","","","","1","1","42","42","0","100.00"
"Ashighar","","","","","1","3","101","50","51","49.50"
"Athubhanga","","","","","1","2","182","150","32","82.42"
"Auguri","","","","","1","6","492","322","170","65.45"
"Aujari Pathar","","","","","1","3","118","71","47","60.17"
"Aujarigaon","","","","","1","5","214","132","82","61.68"
"Bagharagaon","","","","","1","5","253","81","172","32.02"
"Bagharapathar","","","","","1","1","22","22","0","100.00"
"Baghjap","","","","","1","9","380","144","236","37.89"
"Bahakabari","","","","","1","5","244","116","128","47.54"
"Bahakajari","","","","","1","3","78","50","28","64.10"
"Bahakajari Pathar","","","","","1","3","159","120","39","75.47"
"Bahalamukh","","","","","1","2","273","227","46","83.15"
"Bakari Chapari","","","","","1","2","217","151","66","69.59"
"Bakharbori","","","","","1","7","410","271","139","66.10"
"Balidoonga","","","","","1","4","316","196","120","62.03"
"Balimukh P.G.R.","","","","","1","2","287","242","45","84.32"
"Balipara","","","","","1","3","393","331","62","84.22"
"Baltala","","","","","1","5","127","71","56","55.91"
"Bamun Bori","","","","","1","5","313","213","100","68.05"
"Bamungaon","","","","","1","5","239","137","102","57.32"
"Bamunjari","","","","","1","5","246","145","101","58.94"
"Bangaldhara","","","","","1","5","314","236","78","75.16"
"Bangalpara","","","","","1","2","158","77","81","48.73"
"Bangfor","","","","","1","8","398","279","119","70.10"
"Bangthaigaon","","","","","1","5","220","138","82","62.73"
"Banmuri Bil","","","","","1","2","143","134","9","93.71"
"Banmuri Gaon","","","","","1","6","357","218","139","61.06"
"Banpara","","","","","1","3","351","274","77","78.06"
"Banpara Darapani","","","","","1","7","255","180","75","70.59"
"Bar Bhagia","","","","","1","10","249","198","51","79.52"
"Bar Gamari","","","","","1","10","307","55","252","17.92"
"Bar Hulung","","","","","1","2","114","105","9","92.11"
"Bar Manipur","","","","","1","4","397","279","118","70.28"
"Bar-Manipur","","","","","1","7","320","113","207","35.31"
"Barakhibandha","","","","","1","4","272","226","46","83.09"
"Baralimari","","","","","1","5","509","242","267","47.54"
"Baralimari Beel","","","","","1","4","105","63","42","60.00"
"Baramara Pathar (Barama Pathar)","","","","","1","1","191","191","0","100.00"
"Baramari","","","","","1","4","78","58","20","74.36"
"Baramari Pam","","","","","1","3","187","13","174","6.95"
"Barangabari","","","","","1","23","1056","456","600","43.18"
"Barangabari","","","","","1","11","289","138","151","47.75"
"Barbari","","","","","1","5","289","196","93","67.82"
"Barbari Pathar","","","","","1","4","173","142","31","82.08"
"Barchala Gaon","","","","","1","6","464","384","80","82.76"
"Barchapari","","","","","1","4","509","476","33","93.52"
"Bardoloni","1","1","0","0","1","2","506","497","9","98.22"
"Bargog","","","","","1","1","63","63","0","100.00"
"Bargog (Amsoi)","","","","","1","2","73","40","33","54.79"
"Barhaitari","","","","","1","4","123","56","67","45.53"
"Barhampur","","","","","1","2","193","193","0","100.00"
"Barigaon","","","","","1","1","86","75","11","87.21"
"Barjalah","","","","","1","5","203","125","78","61.58"
"Barkhabal","","","","","1","3","549","504","45","91.80"
"Barkhal","","","","","1","4","344","286","58","83.14"
"Barkuloi","","","","","1","4","241","100","141","41.49"
"Barpak Jungle","","","","","1","2","183","144","39","78.69"
"Barpayak No.1","","","","","1","6","280","212","68","75.71"
"Barpayak No.2","","","","","1","5","244","208","36","85.25"
"Barsaka Baha","","","","","1","8","408","288","120","70.59"
"Barsila","","","","","1","7","464","216","248","46.55"
"Baruating","","","","","1","2","50","35","15","70.00"
"Barukata","","","","","1","8","438","279","159","63.70"
"Barukati","","","","","1","7","277","206","71","74.37"
"Barukati Saharia","","","","","1","1","25","25","0","100.00"
"Barunguri","","","","","1","1","83","83","0","100.00"
"Barunguri Beel","","","","","1","5","295","206","89","69.83"
"Basanaghat","","","","","1","3","320","183","137","57.19"
"Basundhari Jalah","","","","","1","2","285","255","30","89.47"
"Batabori","","","","","1","4","315","204","111","64.76"
"Batabori","","","","","1","5","177","112","65","63.28"
"Batahbari","","","","","1","2","121","56","65","46.28"
"Batalimari Gaon","","","","","1","5","1073","939","134","87.51"
"Batalimari Pathar","","","","","1","3","287","192","95","66.90"
"Bebejia Habi","","","","","1","2","218","179","39","82.11"
"Bechamari Dooba","","","","","1","5","265","180","85","67.92"
