MDDS STC,STATE NAME,MDDS DTC,DISTRICT NAME,MDDS Sub_DT,SUB-DISTRICT NAME,MDDS PLCN,Area Name,HH,eHH
10,BIHAR,222,Begusarai,1319,Balia,238417,Bhagwatpur,1611,492
10,BIHAR,222,Begusarai,1319,Balia,238422,Shahpur,449,81
10,BIHAR,222,Begusarai,1319,Balia,238423,Masudanpur,590,178
10,BIHAR,222,Begusarai,1320,Matihani,238424,Mahazi Bhawanandpur,16,13
10,BIHAR,222,Begusarai,1320,Matihani,238425,Ramdiri,1053,299
10,BIHAR,222,Begusarai,1320,Matihani,238429,Ramdiri,926,591
10,BIHAR,222,Begusarai,1320,Matihani,238431,Ramdiri,614,222
10,BIHAR,222,Begusarai,1320,Matihani,238434,Sihman Barari,426,270
10,BIHAR,222,Begusarai,1320,Matihani,238436,SirniaBarari,11,6
10,BIHAR,222,Begusarai,1320,Matihani,238438,Sirnia,221,132
10,BIHAR,222,Begusarai,1320,Matihani,238439,Chak,268,184
10,BIHAR,222,Begusarai,1320,Matihani,238442,Balahpur,550,153
10,BIHAR,222,Begusarai,1320,Matihani,238443,Saidpur Khalsa,51,28
10,BIHAR,222,Begusarai,1320,Matihani,238444,Saidpur Aima,460,232
10,BIHAR,222,Begusarai,1320,Matihani,238445,Rampur,328,185
10,BIHAR,222,Begusarai,1320,Matihani,238446,Saidpur Khalsa,10,6
10,BIHAR,222,Begusarai,1320,Matihani,238447,Saidpur Aima,11,4
10,BIHAR,222,Begusarai,1320,Matihani,238448,Saidpur Khalsa,8,5
10,BIHAR,222,Begusarai,1320,Matihani,238449,Jalalpur,57,25
10,BIHAR,222,Begusarai,1320,Matihani,238450,Khurampur Chakor,814,434
10,BIHAR,222,Begusarai,1320,Matihani,238451,Chhitraur,122,40
10,BIHAR,222,Begusarai,1320,Matihani,238452,Matihani,457,416
10,BIHAR,222,Begusarai,1320,Matihani,238453,Manipa,829,318
10,BIHAR,222,Begusarai,1320,Matihani,238454,Bakhadda,401,119
10,BIHAR,222,Begusarai,1320,Matihani,238455,Gudarganwan,398,240
10,BIHAR,222,Begusarai,1320,Matihani,238456,Hanspur,297,162
10,BIHAR,222,Begusarai,1320,Matihani,238457,Sonapur,1591,671
10,BIHAR,222,Begusarai,1320,Matihani,238459,Minapur,143,75
10,BIHAR,222,Begusarai,1320,Matihani,238460,Mahammadpur Mani,107,41
10,BIHAR,222,Begusarai,1320,Matihani,238461,Mahammadpur Gautam,305,119
10,BIHAR,222,Begusarai,1320,Matihani,238462,Safapur,463,230
10,BIHAR,222,Begusarai,1320,Matihani,238467,Dhanuk Toli,2,1
10,BIHAR,222,Begusarai,1320,Matihani,238468,Sherpur,41,14
10,BIHAR,222,Begusarai,1320,Matihani,238469,Gurganwan,301,89
10,BIHAR,222,Begusarai,1320,Matihani,238471,Hetimpur,269,86
10,BIHAR,222,Begusarai,1320,Matihani,238475,Kasimpur,57,27
10,BIHAR,222,Begusarai,1320,Matihani,238476,Mahindarpur,67,35
10,BIHAR,222,Begusarai,1321,Shamho Akha Kurha,238481,Jagan Saidpur,7,5
10,BIHAR,222,Begusarai,1321,Shamho Akha Kurha,238485,Saidpur Salha Barari,1829,474
10,BIHAR,222,Begusarai,1321,Shamho Akha Kurha,238499,Saidpur Salha,107,13
10,BIHAR,222,Begusarai,1321,Shamho Akha Kurha,238523,Saidpur Salha,15,4
10,BIHAR,222,Begusarai,1321,Shamho Akha Kurha,238526,Saidpur Salha,959,391
10,BIHAR,223,Khagaria,1322,Alauli,238540,Badhchatar,932,388
10,BIHAR,223,Khagaria,1322,Alauli,238541,Dahwa Khairi Khutaha,1221,8
10,BIHAR,223,Khagaria,1322,Alauli,238544,Santokh Bishunpur,232,169
10,BIHAR,223,Khagaria,1322,Alauli,238545,Ambaicharua,1333,472
10,BIHAR,223,Khagaria,1322,Alauli,238546,Sanjhauti,198,30
10,BIHAR,223,Khagaria,1322,Alauli,238547,Alauli,1454,577
10,BIHAR,223,Khagaria,1322,Alauli,238548,Chharapatti,1050,379
10,BIHAR,223,Khagaria,1322,Alauli,238557,Hathwan,812,498
10,BIHAR,223,Khagaria,1322,Alauli,238558,Raun,1072,218
10,BIHAR,223,Khagaria,1322,Alauli,238559,Goriami,1373,457
10,BIHAR,223,Khagaria,1322,Alauli,238560,Ladaura,12,5
10,BIHAR,223,Khagaria,1322,Alauli,238561,Sahsi,873,371
10,BIHAR,223,Khagaria,1322,Alauli,238562,Giddha,508,151
10,BIHAR,223,Khagaria,1322,Alauli,238563,Jogia,765,403
10,BIHAR,223,Khagaria,1322,Alauli,238564,Bhikhari Ghat,759,350
10,BIHAR,223,Khagaria,1322,Alauli,238565,Burhwa,332,141
10,BIHAR,223,Khagaria,1322,Alauli,238566,Parri,778,290
10,BIHAR,223,Khagaria,1322,Alauli,238567,Harpur,1146,716
10,BIHAR,223,Khagaria,1322,Alauli,238568,Nista,485,206
10,BIHAR,223,Khagaria,1322,Alauli,238569,Simraha,980,262
10,BIHAR,223,Khagaria,1322,Alauli,238570,Asurar,104,45
10,BIHAR,223,Khagaria,1322,Alauli,238571,Mujauna,233,135
10,BIHAR,223,Khagaria,1322,Alauli,238572,Budhaura,654,246
10,BIHAR,223,Khagaria,1322,Alauli,238573,Gaura Chak,1076,701
10,BIHAR,223,Khagaria,1322,Alauli,238574,Bahadurpur,767,519
10,BIHAR,223,Khagaria,1322,Alauli,238575,Sanihar,205,157
10,BIHAR,223,Khagaria,1322,Alauli,238576,Imli,18,14
10,BIHAR,223,Khagaria,1322,Alauli,238577,Chhil Kauri,761,392
10,BIHAR,223,Khagaria,1322,Alauli,238578,Machhra,750,147
10,BIHAR,223,Khagaria,1322,Alauli,238581,Murli,422,81
10,BIHAR,223,Khagaria,1322,Alauli,238582,Ahunasiswa,209,61
10,BIHAR,223,Khagaria,1322,Alauli,238583,Ahuna,186,62
10,BIHAR,223,Khagaria,1322,Alauli,238584,Chainpur Khurd,640,35
10,BIHAR,223,Khagaria,1323,Khagaria,238588,Rasaunk,1382,1084
10,BIHAR,223,Khagaria,1323,Khagaria,238589,Marar,1800,1314
10,BIHAR,223,Khagaria,1323,Khagaria,238590,Bachhauta,1380,910
10,BIHAR,223,Khagaria,1323,Khagaria,238591,Dhodhraha,460,404
10,BIHAR,223,Khagaria,1323,Khagaria,238592,Bhagwan chak,492,218
10,BIHAR,223,Khagaria,1323,Khagaria,238593,Rahima,295,283
10,BIHAR,223,Khagaria,1323,Khagaria,238594,Dahraia,156,109
10,BIHAR,223,Khagaria,1323,Khagaria,238595,Kaunia,250,159
10,BIHAR,223,Khagaria,1323,Khagaria,238596,Barai,460,326
10,BIHAR,223,Khagaria,1323,Khagaria,238597,Rani Shakarpura,2524,788
10,BIHAR,223,Khagaria,1323,Khagaria,238599,Gangaur,2,2
10,BIHAR,223,Khagaria,1323,Khagaria,238601,Tetarabad,1836,1068
10,BIHAR,223,Khagaria,1323,Khagaria,238605,Jal Kaura,691,421
10,BIHAR,223,Khagaria,1323,Khagaria,238608,Sobhni,354,271
10,BIHAR,223,Khagaria,1323,Khagaria,238609,Labhgaon,1224,662
10,BIHAR,223,Khagaria,1323,Khagaria,238610,Babhan Gawan,854,92
10,BIHAR,223,Khagaria,1323,Khagaria,238611,Bishunpur Dhusmari,1316,603
10,BIHAR,223,Khagaria,1323,Khagaria,238613,Darhi,178,82
10,BIHAR,223,Khagaria,1323,Khagaria,238615,Kasimpur,532,272
10,BIHAR,223,Khagaria,1323,Khagaria,238616,Madhua,270,192
10,BIHAR,223,Khagaria,1323,Khagaria,238617,Durgapur Karari,258,202
10,BIHAR,223,Khagaria,1323,Khagaria,238619,Durgapur Barari,360,307
10,BIHAR,223,Khagaria,1323,Khagaria,238620,Ammadih,115,104
10,BIHAR,223,Khagaria,1323,Khagaria,238621,Kothia,2252,1137
10,BIHAR,223,Khagaria,1323,Khagaria,238622,Seikhpura,203,103
10,BIHAR,223,Khagaria,1323,Khagaria,238623,Kutubpur,14,5
10,BIHAR,223,Khagaria,1323,Khagaria,238624,Mathurapur,2287,1488
10,BIHAR,223,Khagaria,1323,Khagaria,238626,Sonhauli,2209,1384
10,BIHAR,223,Khagaria,1323,Khagaria,238627,Ranko,1567,998
10,BIHAR,223,Khagaria,1323,Khagaria,238628,Hardas chak,174,65
10,BIHAR,223,Khagaria,1323,Khagaria,238629,Parmanpur,256,239
10,BIHAR,223,Khagaria,1323,Khagaria,238632,Sansarpur,665,468
10,BIHAR,223,Khagaria,1323,Khagaria,238633,Gaura,949,665
10,BIHAR,223,Khagaria,1323,Khagaria,238634,Mahsaurhi,663,382
10,BIHAR,223,Khagaria,1324,Mansi,238635,Balha,1194,857
10,BIHAR,223,Khagaria,1324,Mansi,238638,Chak Kamal,107,106
10,BIHAR,223,Khagaria,1324,Mansi,238640,Mansi,436,383
10,BIHAR,223,Khagaria,1324,Mansi,238641,Khutia,1230,808
10,BIHAR,223,Khagaria,1324,Mansi,238642,Amni,876,753
10,BIHAR,223,Khagaria,1324,Mansi,238644,Saidpur,922,656
10,BIHAR,223,Khagaria,1324,Mansi,238645,Chak Hussaini,1223,783
10,BIHAR,223,Khagaria,1324,Mansi,238646,Thatha,2610,1492
10,BIHAR,223,Khagaria,1324,Mansi,238647,Bakhtiarpur,82,70
10,BIHAR,223,Khagaria,1325,Chautham,238648,Khirnia,217,173
10,BIHAR,223,Khagaria,1325,Chautham,238652,Muzafferpur Sham,151,1
10,BIHAR,223,Khagaria,1325,Chautham,238659,Bhelauri,318,151
10,BIHAR,223,Khagaria,1325,Chautham,238660,Telaunchh,756,415
10,BIHAR,223,Khagaria,1325,Chautham,238661,Pipra,631,414
10,BIHAR,223,Khagaria,1325,Chautham,238662,Farreh,296,218
10,BIHAR,223,Khagaria,1325,Chautham,238663,Nirpur,775,436
10,BIHAR,223,Khagaria,1325,Chautham,238664,Adabari,402,319
10,BIHAR,223,Khagaria,1325,Chautham,238665,Bheria,171,38
10,BIHAR,223,Khagaria,1325,Chautham,238666,Chautham,1829,905
10,BIHAR,223,Khagaria,1325,Chautham,238667,Lagma,178,137
10,BIHAR,223,Khagaria,1325,Chautham,238669,Dhutauli,1672,1044
10,BIHAR,223,Khagaria,1325,Chautham,238670,Hardia,625,343
10,BIHAR,223,Khagaria,1325,Chautham,238674,Pahar chak,84,70
10,BIHAR,223,Khagaria,1325,Chautham,238675,Gorhia,177,130
10,BIHAR,223,Khagaria,1326,Beldaur,238676,Muras,727,429
10,BIHAR,223,Khagaria,1326,Beldaur,238677,Goas,723,450
10,BIHAR,223,Khagaria,1326,Beldaur,238678,Bira,72,33
10,BIHAR,223,Khagaria,1326,Beldaur,238680,Mali,1058,399
10,BIHAR,223,Khagaria,1326,Beldaur,238681,Pirnagra,1719,442
10,BIHAR,223,Khagaria,1326,Beldaur,238682,Mahinath Nagar,880,204
10,BIHAR,223,Khagaria,1326,Beldaur,238684,Beldaur,2186,511
10,BIHAR,223,Khagaria,1326,Beldaur,238685,Bobil,1913,1201
10,BIHAR,223,Khagaria,1326,Beldaur,238686,Pachrasi,456,33
10,BIHAR,223,Khagaria,1326,Beldaur,238687,Sakrohra,1103,381
10,BIHAR,223,Khagaria,1326,Beldaur,238698,Rohinwa,47,14
10,BIHAR,223,Khagaria,1326,Beldaur,238699,Bhela Nauabad,789,334
10,BIHAR,223,Khagaria,1326,Beldaur,238700,Telihar,1226,817
10,BIHAR,223,Khagaria,1326,Beldaur,238701,Ramnagar,233,165
10,BIHAR,223,Khagaria,1326,Beldaur,238702,Dumri,1365,421
10,BIHAR,223,Khagaria,1327,Gogri,238705,Sahraun,326,2
10,BIHAR,223,Khagaria,1327,Gogri,238706,Baltara,1706,138
10,BIHAR,223,Khagaria,1327,Gogri,238707,Maira,885,53
10,BIHAR,223,Khagaria,1327,Gogri,238708,Bharra,243,166
10,BIHAR,223,Khagaria,1327,Gogri,238710,Banni,1437,920
10,BIHAR,223,Khagaria,1327,Gogri,238713,Har Parshad,37,37
10,BIHAR,223,Khagaria,1327,Gogri,238715,Borna,602,350
10,BIHAR,223,Khagaria,1327,Gogri,238716,Ramchandarpur,638,414
10,BIHAR,223,Khagaria,1327,Gogri,238717,Jan Mohammad,112,46
10,BIHAR,223,Khagaria,1327,Gogri,238718,Jhiktia,991,543
10,BIHAR,223,Khagaria,1327,Gogri,238719,Shamshuddinpur,1628,614
10,BIHAR,223,Khagaria,1327,Gogri,238720,Mahesh Khunt,1766,1056
10,BIHAR,223,Khagaria,1327,Gogri,238721,Kazichak,222,142
10,BIHAR,223,Khagaria,1327,Gogri,238722,Taur,35,27
10,BIHAR,223,Khagaria,1327,Gogri,238723,Madarpur,728,386
10,BIHAR,223,Khagaria,1327,Gogri,238724,Ratan,1398,880
10,BIHAR,223,Khagaria,1327,Gogri,238725,Gobindpur,285,78
10,BIHAR,223,Khagaria,1327,Gogri,238732,Jamalpur,2541,1574
10,BIHAR,223,Khagaria,1327,Gogri,238734,Pattilewa,124,47
10,BIHAR,223,Khagaria,1327,Gogri,238738,Gochhari,783,539
10,BIHAR,223,Khagaria,1327,Gogri,238740,Pitaunijhia,462,276
10,BIHAR,223,Khagaria,1327,Gogri,238741,Molia,515,412
10,BIHAR,223,Khagaria,1327,Gogri,238742,Mushkipur,352,230
10,BIHAR,223,Khagaria,1327,Gogri,238743,Fatehpur,401,318
10,BIHAR,223,Khagaria,1327,Gogri,238744,Basudeopur,789,565
10,BIHAR,223,Khagaria,1327,Gogri,238746,Rampur,795,614
10,BIHAR,223,Khagaria,1327,Gogri,238758,Itahri,689,321
10,BIHAR,223,Khagaria,1327,Gogri,238759,Sher chakla,1560,1015
10,BIHAR,223,Khagaria,1327,Gogri,238760,Sondiha,666,370
10,BIHAR,223,Khagaria,1327,Gogri,238761,Pasraha,759,663
10,BIHAR,223,Khagaria,1327,Gogri,238762,Chandwa,101,88
10,BIHAR,223,Khagaria,1327,Gogri,238766,Paura,722,28
10,BIHAR,223,Khagaria,1328,Parbatta,238774,Madhopur Karari,483,326
10,BIHAR,223,Khagaria,1328,Parbatta,238775,Madhopur (Gangbarar),98,70
10,BIHAR,223,Khagaria,1328,Parbatta,238776,Kabaila,630,424
10,BIHAR,223,Khagaria,1328,Parbatta,238777,Kharagpura,28,24
10,BIHAR,223,Khagaria,1328,Parbatta,238778,Kharagpura,27,25
10,BIHAR,223,Khagaria,1328,Parbatta,238779,Balha,242,193
10,BIHAR,223,Khagaria,1328,Parbatta,238780,Araria,557,177
10,BIHAR,223,Khagaria,1328,Parbatta,238781,Araria,53,15
10,BIHAR,223,Khagaria,1328,Parbatta,238782,Deori,748,299
10,BIHAR,223,Khagaria,1328,Parbatta,238783,Saurh,1800,877
10,BIHAR,223,Khagaria,1328,Parbatta,238784,Jhajhra,431,256
10,BIHAR,223,Khagaria,1328,Parbatta,238785,Mehdipur,968,752
10,BIHAR,223,Khagaria,1328,Parbatta,238786,Bundehra,1112,473
10,BIHAR,223,Khagaria,1328,Parbatta,238787,Pipralatif,1956,720
10,BIHAR,223,Khagaria,1328,Parbatta,238788,Baisa,1177,613
10,BIHAR,223,Khagaria,1328,Parbatta,238789,Kalwara,2182,458
10,BIHAR,223,Khagaria,1328,Parbatta,238790,Punaur,859,498
10,BIHAR,223,Khagaria,1328,Parbatta,238792,Bhatkhar,585,203
10,BIHAR,223,Khagaria,1328,Parbatta,238793,Mathurpur,213,185
10,BIHAR,223,Khagaria,1328,Parbatta,238795,Khajraitha,1129,854
10,BIHAR,223,Khagaria,1328,Parbatta,238797,Bharson,699,668
10,BIHAR,223,Khagaria,1328,Parbatta,238798,Kulharia,1414,773
10,BIHAR,223,Khagaria,1328,Parbatta,238802,Chakki Bharkal,122,52
10,BIHAR,223,Khagaria,1328,Parbatta,238805,Dariapur Bhelwa,282,130
10,BIHAR,223,Khagaria,1328,Parbatta,238806,Madhopur,460,353
10,BIHAR,223,Khagaria,1328,Parbatta,238807,Dariapur,67,39
10,BIHAR,223,Khagaria,1328,Parbatta,238809,Dariapurpatpar,60,38
10,BIHAR,223,Khagaria,1328,Parbatta,238811,Zorawarpur,924,287
10,BIHAR,223,Khagaria,1328,Parbatta,238813,Zorawarpur,452,165
10,BIHAR,223,Khagaria,1328,Parbatta,238814,Gobindpur,905,358
10,BIHAR,223,Khagaria,1328,Parbatta,238815,Gobindpur,10,7
10,BIHAR,223,Khagaria,1328,Parbatta,238816,Rupauli Inglish,115,101
10,BIHAR,223,Khagaria,1328,Parbatta,238818,Rampur urf Rahimpur Inghish,791,482
10,BIHAR,223,Khagaria,1328,Parbatta,238819,Rahimpur,327,265
10,BIHAR,223,Khagaria,1328,Parbatta,238820,Parbata,647,487
10,BIHAR,223,Khagaria,1328,Parbatta,238821,Parbata,582,257
10,BIHAR,223,Khagaria,1328,Parbatta,238825,Chak Paryag,131,65
10,BIHAR,223,Khagaria,1328,Parbatta,238826,Himapur urf Lagar,142,97
10,BIHAR,223,Khagaria,1328,Parbatta,238828,Lagar,388,202
10,BIHAR,223,Khagaria,1328,Parbatta,238829,Siadatpur Aguani,105,54
10,BIHAR,223,Khagaria,1328,Parbatta,238830,Siadatpur Aguani,105,77
10,BIHAR,223,Khagaria,1328,Parbatta,238831,Siadatpur Aguani  Inglish,99,77
10,BIHAR,223,Khagaria,1328,Parbatta,238832,Aguani,547,406
10,BIHAR,223,Khagaria,1328,Parbatta,238833,Khirarahi,801,523
10,BIHAR,223,Khagaria,1328,Parbatta,238834,Temtha Karari,630,250
10,BIHAR,223,Khagaria,1328,Parbatta,238837,Dumaria Bazurg,478,275
10,BIHAR,224,Bhagalpur,1329,Narayanpur,238842,Nagarpara,3346,1755
10,BIHAR,224,Bhagalpur,1329,Narayanpur,238843,Mohanpur,531,422
10,BIHAR,224,Bhagalpur,1329,Narayanpur,238844,Raipur,1067,622
10,BIHAR,224,Bhagalpur,1329,Narayanpur,238846,Jaipur Chuhar,1889,1033
10,BIHAR,224,Bhagalpur,1329,Narayanpur,238847,Paharpur,522,486
10,BIHAR,224,Bhagalpur,1329,Narayanpur,238848,Sihpur,2759,1786
10,BIHAR,224,Bhagalpur,1329,Narayanpur,238867,Bishunpur Amri,497,2
10,BIHAR,224,Bhagalpur,1329,Narayanpur,238869,Shahzadpur,693,1
10,BIHAR,224,Bhagalpur,1329,Narayanpur,238870,Mohanpur Hela,1,1
10,BIHAR,224,Bhagalpur,1330,Bihpur,238874,Jamalpur,345,64
10,BIHAR,224,Bhagalpur,1330,Bihpur,238875,Bikrampur,1068,554
10,BIHAR,224,Bhagalpur,1330,Bihpur,238876,Jairampur Nankar,1399,1032
10,BIHAR,224,Bhagalpur,1330,Bihpur,238877,Dharampur Ratti,744,381
10,BIHAR,224,Bhagalpur,1330,Bihpur,238878,Dharampur Ratti,7,3
10,BIHAR,224,Bhagalpur,1330,Bihpur,238888,Gobindpur Gobind,103,1
10,BIHAR,224,Bhagalpur,1330,Bihpur,238890,Kaharpur,353,57
10,BIHAR,224,Bhagalpur,1330,Bihpur,238891,Bishunpur Ramsahai,164,140
10,BIHAR,224,Bhagalpur,1330,Bihpur,238893,Bishunpur Ramsahai,20,17
10,BIHAR,224,Bhagalpur,1330,Bihpur,238894,Dealpur,1209,324
10,BIHAR,224,Bhagalpur,1330,Bihpur,238896,Peari chak,107,30
10,BIHAR,224,Bhagalpur,1330,Bihpur,238897,Tulsipur,207,84
10,BIHAR,224,Bhagalpur,1330,Bihpur,238898,Hario,758,99
10,BIHAR,224,Bhagalpur,1330,Bihpur,238900,Marwa,2655,1978
10,BIHAR,224,Bhagalpur,1330,Bihpur,238901,Thandapur,1480,671
10,BIHAR,224,Bhagalpur,1330,Bihpur,238902,Bihpur,2452,1024
10,BIHAR,224,Bhagalpur,1330,Bihpur,238903,Fatmachak,368,247
10,BIHAR,224,Bhagalpur,1330,Bihpur,238904,Babhangawan,853,666
10,BIHAR,224,Bhagalpur,1330,Bihpur,238906,Bhagwatipur,1,1
10,BIHAR,224,Bhagalpur,1330,Bihpur,238909,Narkatia,88,72
10,BIHAR,224,Bhagalpur,1330,Bihpur,238910,Gauripur,955,821
10,BIHAR,224,Bhagalpur,1330,Bihpur,238911,Sonbarsa,1463,1208
10,BIHAR,224,Bhagalpur,1330,Bihpur,238913,Jamaluddinpur,468,370
10,BIHAR,224,Bhagalpur,1331,Kharik,238916,Seokund,357,1
10,BIHAR,224,Bhagalpur,1331,Kharik,238917,Lokmanpur,794,2
10,BIHAR,224,Bhagalpur,1331,Kharik,238919,Dhodhia,722,299
10,BIHAR,224,Bhagalpur,1331,Kharik,238920,Dadpur,386,71
10,BIHAR,224,Bhagalpur,1331,Kharik,238921,Kharik,2878,933
10,BIHAR,224,Bhagalpur,1331,Kharik,238922,Tulshipur kharik,1102,612
10,BIHAR,224,Bhagalpur,1331,Kharik,238923,Telghi,981,469
10,BIHAR,224,Bhagalpur,1331,Kharik,238924,Bagri,403,94
10,BIHAR,224,Bhagalpur,1331,Kharik,238926,Isapur,755,273
10,BIHAR,224,Bhagalpur,1331,Kharik,238927,Usmanpur,1122,331
10,BIHAR,224,Bhagalpur,1331,Kharik,238928,Faridpur,66,27
10,BIHAR,224,Bhagalpur,1331,Kharik,238930,Sobnathpur,2,1
10,BIHAR,224,Bhagalpur,1331,Kharik,238931,Sobnathpur,2,1
10,BIHAR,224,Bhagalpur,1331,Kharik,238932,Lodipur,163,72
10,BIHAR,224,Bhagalpur,1331,Kharik,238933,Lodipur,247,85
10,BIHAR,224,Bhagalpur,1331,Kharik,238934,Khairpur Sobganj,431,17
10,BIHAR,224,Bhagalpur,1331,Kharik,238935,Kazi Koraia,113,27
10,BIHAR,224,Bhagalpur,1331,Kharik,238936,Bhagwatipur Arazi,3,1
10,BIHAR,224,Bhagalpur,1331,Kharik,238943,Raghopur,111,6
10,BIHAR,224,Bhagalpur,1331,Kharik,238944,Akidatpur,678,134
10,BIHAR,224,Bhagalpur,1331,Kharik,238948,Bahatra,238,2
10,BIHAR,224,Bhagalpur,1332,Naugachhia,238953,Karimachak,112,70
10,BIHAR,224,Bhagalpur,1332,Naugachhia,238954,Karimachak,237,157
10,BIHAR,224,Bhagalpur,1332,Naugachhia,238955,Tetari,1336,683
10,BIHAR,224,Bhagalpur,1332,Naugachhia,238957,Pakra,1024,572
10,BIHAR,224,Bhagalpur,1332,Naugachhia,238958,Jamunia,826,454
10,BIHAR,224,Bhagalpur,1332,Naugachhia,238959,Zabtaili,280,155
10,BIHAR,224,Bhagalpur,1332,Naugachhia,238960,Jagatpur,791,208
10,BIHAR,224,Bhagalpur,1332,Naugachhia,238961,Garia,258,152
10,BIHAR,224,Bhagalpur,1332,Naugachhia,238962,Khagra,679,278
10,BIHAR,224,Bhagalpur,1332,Naugachhia,238964,Sahul,104,69
10,BIHAR,224,Bhagalpur,1332,Naugachhia,238965,Barwa,247,44
10,BIHAR,224,Bhagalpur,1332,Naugachhia,238967,Khatmachak,36,12
10,BIHAR,224,Bhagalpur,1332,Naugachhia,238969,Nagara,783,228
10,BIHAR,224,Bhagalpur,1333,Rangra Chowk,238971,Madsudanpur,1131,484
10,BIHAR,224,Bhagalpur,1333,Rangra Chowk,238972,Bhawanipur,1455,597
10,BIHAR,224,Bhagalpur,1333,Rangra Chowk,238973,Madrauni Pachhiarital,712,284
10,BIHAR,224,Bhagalpur,1333,Rangra Chowk,238974,Rangra,1132,481
10,BIHAR,224,Bhagalpur,1333,Rangra Chowk,238975,Rangha  Milik,13,5
10,BIHAR,224,Bhagalpur,1333,Rangra Chowk,238976,Rangra  Milik,631,367
10,BIHAR,224,Bhagalpur,1333,Rangra Chowk,238977,Sadhua,1711,326
10,BIHAR,224,Bhagalpur,1333,Rangra Chowk,238978,Tintanga (Part in Gopalpur) *,2654,332
10,BIHAR,224,Bhagalpur,1333,Rangra Chowk,238979,Madrauni Gobindpur Kausli,1047,418
10,BIHAR,224,Bhagalpur,1333,Rangra Chowk,238980,Sadhopur,357,70
10,BIHAR,224,Bhagalpur,1333,Rangra Chowk,238981,Baisi Jahangirpur,1104,218
10,BIHAR,224,Bhagalpur,1334,Gopalpur,238983,Tintanga (Part in Rangra Chowk) *,1247,230
10,BIHAR,224,Bhagalpur,1334,Gopalpur,238984,Azmabad Milik,108,25
10,BIHAR,224,Bhagalpur,1334,Gopalpur,238985,Azmabad,1555,545
10,BIHAR,224,Bhagalpur,1334,Gopalpur,238986,Sungtia,227,158
10,BIHAR,224,Bhagalpur,1334,Gopalpur,238988,Latra,1511,494
10,BIHAR,224,Bhagalpur,1334,Gopalpur,238990,Dharhara,525,448
10,BIHAR,224,Bhagalpur,1334,Gopalpur,238991,Makanpur,711,519
10,BIHAR,224,Bhagalpur,1334,Gopalpur,238992,Goshaingaon,1028,586
10,BIHAR,224,Bhagalpur,1334,Gopalpur,238993,Goshaingaon,39,17
10,BIHAR,224,Bhagalpur,1334,Gopalpur,238994,Mathiara,333,110
10,BIHAR,224,Bhagalpur,1334,Gopalpur,238997,Abhia,530,327
10,BIHAR,224,Bhagalpur,1334,Gopalpur,238998,Dimha,1449,546
10,BIHAR,224,Bhagalpur,1335,Pirpainti,239002,Sirmatpur,1184,320
10,BIHAR,224,Bhagalpur,1335,Pirpainti,239003,Khawaspur Milik,42,23
10,BIHAR,224,Bhagalpur,1335,Pirpainti,239004,Imamnagar,45,25
10,BIHAR,224,Bhagalpur,1335,Pirpainti,239005,Harinkol,759,335
10,BIHAR,224,Bhagalpur,1335,Pirpainti,239007,Pirpainti,490,232
10,BIHAR,224,Bhagalpur,1335,Pirpainti,239008,Manikpur,1211,639
10,BIHAR,224,Bhagalpur,1335,Pirpainti,239009,Mundwa urf Tundwa,142,99
10,BIHAR,224,Bhagalpur,1335,Pirpainti,239011,Kangalichak,56,11
10,BIHAR,224,Bhagalpur,1335,Pirpainti,239013,Fauzdari,464,149
10,BIHAR,224,Bhagalpur,1335,Pirpainti,239014,Salempur Kita Doem,3,2
10,BIHAR,224,Bhagalpur,1335,Pirpainti,239015,Shahabad,167,20
10,BIHAR,224,Bhagalpur,1335,Pirpainti,239017,Fauzdari Kita Doem,1,1
10,BIHAR,224,Bhagalpur,1335,Pirpainti,239019,Salempur,660,82
10,BIHAR,224,Bhagalpur,1335,Pirpainti,239021,Sirmatpur,1267,277
10,BIHAR,224,Bhagalpur,1335,Pirpainti,239022,Ammapali,97,29
10,BIHAR,224,Bhagalpur,1335,Pirpainti,239023,Pakaria,95,10
10,BIHAR,224,Bhagalpur,1335,Pirpainti,239024,Kangali chauki,2,1
10,BIHAR,224,Bhagalpur,1335,Pirpainti,239025,Kirtania,362,51
10,BIHAR,224,Bhagalpur,1335,Pirpainti,239026,Dadar,40,4
10,BIHAR,224,Bhagalpur,1335,Pirpainti,239027,Naraenpur,588,188
10,BIHAR,224,Bhagalpur,1335,Pirpainti,239028,Udaipura,311,94
10,BIHAR,224,Bhagalpur,1335,Pirpainti,239029,Koriachak,28,4
10,BIHAR,224,Bhagalpur,1335,Pirpainti,239030,Koriachak Amanat,9,4
10,BIHAR,224,Bhagalpur,1335,Pirpainti,239032,Parasbana,336,101
10,BIHAR,224,Bhagalpur,1335,Pirpainti,239033,Parasbana Milik,40,4
10,BIHAR,224,Bhagalpur,1335,Pirpainti,239034,Olapur,684,292
10,BIHAR,224,Bhagalpur,1335,Pirpainti,239037,Olapur Inglis,30,9
10,BIHAR,224,Bhagalpur,1335,Pirpainti,239038,Olapur,192,63
10,BIHAR,224,Bhagalpur,1335,Pirpainti,239039,Duldulia,390,170
10,BIHAR,224,Bhagalpur,1335,Pirpainti,239041,Majrohi,145,47
10,BIHAR,224,Bhagalpur,1335,Pirpainti,239043,Sundarpur,330,148
10,BIHAR,224,Bhagalpur,1335,Pirpainti,239045,Moheshram,662,168
