"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Aado (63)","","","","","1","1","42","42","0","100.00"
"Abada Barana (215)","","","","","1","4","174","172","2","98.85"
"Abhay Pur (122)","","","","","1","4","110","107","3","97.27"
"Adarsh Nagar (143)","","","","","1","2","256","256","0","100.00"
"Aerian (219)","","","","","1","2","514","500","14","97.28"
"Aghar (70)","","","","","1","5","10","10","0","100.00"
"Aghlor (7/1)","","","","","1","3","60","60","0","100.00"
"Aisan (15/31)","","","","","1","2","46","46","0","100.00"
"Ajauli (237)","","","","","1","2","482","467","15","96.89"
"Ajnoli (203)","","","","","1","3","304","302","2","99.34"
"Akrot (111)","","","","","1","4","85","85","0","100.00"
"Alehar (82)","","","","","1","1","32","32","0","100.00"
"Aliana (9/16)","","","","","1","1","5","5","0","100.00"
"Aloh (31/7)","","","","","1","1","89","89","0","100.00"
"Alsahan (16/16)","","","","","1","3","48","48","0","100.00"
"Amb  (143)","","","","","1","8","368","335","33","91.03"
"Amb Tilla (35)","","","","","1","3","84","84","0","100.00"
"Ambe Da Behra (6/2)","","","","","1","1","41","41","0","100.00"
"Ambhera Dhiraj (6/1)","","","","","1","6","66","65","1","98.48"
"Ambhera Ramkishan (6/9)","","","","","1","5","100","95","5","95.00"
"Amboa (125)","","","","","1","4","264","261","3","98.86"
"Ambota (139)","","","","","1","1","380","361","19","95.00"
"Amjar (8/1)","","","","","1","3","21","21","0","100.00"
"Amlehar (133)","","","","","1","5","213","213","0","100.00"
"Amokla Pritam (27)","","","","","1","2","69","69","0","100.00"
"Amokla Sandu (28)","","","","","1","2","24","24","0","100.00"
"Amrera (8/2)","","","","","1","1","42","42","0","100.00"
"Amroh (6/11)","","","","","1","5","111","111","0","100.00"
"Andora Nichla (144)","","","","","1","5","472","472","0","100.00"
"Andora Upperla (144)","","","","","1","3","510","510","0","100.00"
"Androli (10/16)","","","","","1","2","29","29","0","100.00"
"Ardoh (34)","","","","","1","3","44","44","0","100.00"
"Arjunpura (198)","","","","","1","3","134","124","10","92.54"
"Arlu Gurmukh (3/3)","","","","","1","3","40","40","0","100.00"
"Arlu Khas (3/1)","","","","","1","3","43","41","2","95.35"
"Arlu Kundu (3/2)","","","","","1","3","34","34","0","100.00"
"Arniala (205)","","","","","1","3","1027","1007","20","98.05"
"Athwan (142)","","","","","1","4","166","153","13","92.17"
"Atia (6/5)","","","","","1","3","40","39","1","97.50"
"Awahar (15/11)","","","","","1","2","16","16","0","100.00"
"Babehar (118)","","","","","1","3","239","237","2","99.16"
"Badaun (149)","","","","","1","2","172","172","0","100.00"
"Badaur (10/18)","","","","","1","2","21","21","0","100.00"
"Badehar Nichla (219)","","","","","1","7","224","224","0","100.00"
"Badehar Upperla (219)","","","","","1","4","122","120","2","98.36"
"Badehar Urf  Dehlan (219)","","","","","1","6","596","581","15","97.48"
"Badehra (199)","","","","","1","4","969","948","21","97.83"
"Badgar (7/3)","","","","","1","1","16","16","0","100.00"
