"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Achanakpur","","","","","1","3","178","178","0","100.00"
"Achharidih","","","","","1","2","352","352","0","100.00"
"Achhola","","","","","1","1","75","75","0","100.00"
"Achholi","","","","","1","1","269","269","0","100.00"
"Ajagarkhar","","","","","1","4","153","153","0","100.00"
"Akaltara","","","","","1","1","16","16","0","100.00"
"Akashkhara","","","","","1","2","57","57","0","100.00"
"Akharabhatha","","","","","1","2","142","142","0","100.00"
"Akharabhatha Tukda","","","","","1","4","72","72","0","100.00"
"Amabhauna","","","","","1","1","22","22","0","100.00"
"Amajola","","","","","1","1","21","21","0","100.00"
"Amakoni","","","","","1","3","158","158","0","100.00"
"Amaldih","","","","","1","1","94","94","0","100.00"
"Amanara","","","","","1","1","215","215","0","100.00"
"Amanpuri","","","","","1","2","128","125","3","97.66"
"Amapali","","","","","1","3","176","176","0","100.00"
"Amarkot","","","","","1","4","228","228","0","100.00"
"Amawash","","","","","1","2","165","165","0","100.00"
"Amera","","","","","1","1","96","96","0","100.00"
"Amethi","","","","","1","3","85","85","0","100.00"
"Amgaon","","","","","1","1","73","73","0","100.00"
"Amlidih","","","","","1","1","121","121","0","100.00"
"Amlidih","","","","","1","2","102","102","0","100.00"
"Amlipadar","","","","","1","1","35","35","0","100.00"
"Amlor","","","","","1","1","107","107","0","100.00"
"Amodidih","","","","","1","1","65","65","0","100.00"
"Amora","","","","","1","1","93","93","0","100.00"
"Amori","","","","","1","1","72","68","4","94.44"
"Amurda","","","","","1","1","103","103","0","100.00"
"Ankori","","","","","1","4","193","193","0","100.00"
"Ansula","","","","","1","1","270","270","0","100.00"
"Antarjhala","","","","","1","2","136","136","0","100.00"
"Antarla","","","","","1","3","136","136","0","100.00"
"Anwaradabri","","","","","1","1","150","148","2","98.67"
"Anwarpur","","","","","1","1","132","132","0","100.00"
"Arand","","","","","1","1","229","229","0","100.00"
"Arand","","","","","1","4","215","215","0","100.00"
"Arangi","","","","","1","4","127","127","0","100.00"
"Arangitukda Naya","","","","","1","1","16","16","0","100.00"
"Arekel","","","","","1","4","445","445","0","100.00"
"Arjunda","","","","","1","5","132","132","0","100.00"
"Arjuni","","","","","1","3","129","129","0","100.00"
"Artunda","","","","","1","1","80","80","0","100.00"
"Atharagudi","","","","","1","3","317","317","0","100.00"
"Awalachaka","","","","","1","5","271","271","0","100.00"
"Bade Loram","","","","","1","2","249","244","5","97.99"
"Bade Temri Bhaisanala Tukda","","","","","1","1","41","41","0","100.00"
"Badedabha","","","","","1","4","200","200","0","100.00"
"Badepandhi","","","","","1","2","127","127","0","100.00"
"Badesajapali","","","","","1","5","364","364","0","100.00"
"Badetemri","","","","","1","4","173","173","0","100.00"
"Badetemri","","","","","1","2","180","180","0","100.00"
"Badetemri Nakti Nala Tukda","","","","","1","1","83","83","0","100.00"
"Badetemri Purana Tukda","","","","","1","1","16","16","0","100.00"
"Badgaon","","","","","1","2","414","400","14","96.62"
"Badhaipali","","","","","1","2","161","161","0","100.00"
"Bagaijor","","","","","1","3","190","190","0","100.00"
"Bagardarha","","","","","1","2","77","75","2","97.40"
"Bagarpali","","","","","1","2","190","167","23","87.89"
"Bagbahara Kalan(Viran)","","","","","1","1","17","7","10","41.18"
"Bagbahara Khurd","","","","","1","1","16","16","0","100.00"
"Bagduwari","","","","","1","2","89","89","0","100.00"
"Baghamuda","","","","","1","1","132","132","0","100.00"
"Bagmada","","","","","1","1","72","72","0","100.00"
"Bahadurpur","","","","","1","2","91","91","0","100.00"
"Bahera Bhatha","","","","","1","1","60","60","0","100.00"
"Baidpali","","","","","1","2","173","173","0","100.00"
"Baiga Khamariya","","","","","1","1","75","75","0","100.00"
"Baigandih","","","","","1","2","71","71","0","100.00"
"Baihadih","","","","","1","2","67","67","0","100.00"
"Baitari","","","","","1","1","90","86","4","95.56"
"Baitari","","","","","1","5","240","240","0","100.00"
"Bajibahal","","","","","1","3","183","183","0","100.00"
"Bakma","","","","","1","2","342","342","0","100.00"
"Bakma","","","","","1","1","160","160","0","100.00"
"Balanda","","","","","1","1","56","56","0","100.00"
"Baldidih","","","","","1","1","137","130","7","94.89"
"Balouda","","","","","1","14","411","411","0","100.00"
"Balsi","","","","","1","4","277","277","0","100.00"
"Bamburdih (Baburdih)","","","","","1","2","132","123","9","93.18"
"Bamdadih","","","","","1","2","117","112","5","95.73"
"Bamhandih","","","","","1","1","57","57","0","100.00"
"Bamhani","","","","","1","2","370","370","0","100.00"
"Bamhani","","","","","1","4","301","301","0","100.00"
"Bamhanindih","","","","","1","2","93","93","0","100.00"
"Bamhansara","","","","","1","1","42","42","0","100.00"
"Bamhnidwar","","","","","1","1","38","38","0","100.00"
"Bandabari","","","","","1","3","103","103","0","100.00"
"Bandabari","","","","","1","4","99","99","0","100.00"
"Bandalimal","","","","","1","2","104","104","0","100.00"
"Bandora","","","","","1","2","100","100","0","100.00"
"Bandumuda","","","","","1","1","78","78","0","100.00"
"Bandupali","","","","","1","1","35","35","0","100.00"
"Banhardih","","","","","1","1","42","42","0","100.00"
"Banigirola","","","","","1","5","353","353","0","100.00"
"Banipali","","","","","1","3","212","212","0","100.00"
"Baniyatora","","","","","1","1","101","101","0","100.00"
"Banjari Dipa","","","","","1","1","38","38","0","100.00"
"Banjhapali","","","","","1","1","78","78","0","100.00"
"Banjrbahara","","","","","1","2","27","27","0","100.00"
"Banobhatha","","","","","1","1","68","68","0","100.00"
"Banpachari","","","","","1","1","138","134","4","97.10"
"Banpali","","","","","1","2","50","50","0","100.00"
"Banseoni","","","","","1","3","210","210","0","100.00"
"Banskanta","","","","","1","1","52","52","0","100.00"
"Banskata (Banjkata)","","","","","1","1","176","176","0","100.00"
"Banskuda","","","","","1","2","196","196","0","100.00"
"Bansula","","","","","1","4","395","395","0","100.00"
"Bansulidih","","","","","1","2","82","82","0","100.00"
"Baradoli","","","","","1","4","333","333","0","100.00"
"Baradoli","","","","","1","3","214","214","0","100.00"
"Barbaspur","","","","","1","1","280","280","0","100.00"
"Barbaspur","","","","","1","1","136","136","0","100.00"
"Barbaspur","","","","","1","3","180","180","0","100.00"
"Barbhatha","","","","","1","1","69","69","0","100.00"
"Bardih","","","","","1","3","190","190","0","100.00"
"Barekel","","","","","1","1","134","134","0","100.00"
"Barekel Kalan","","","","","1","1","251","251","0","100.00"
"Barekelkhurd","","","","","1","1","218","214","4","98.17"
"Bargaon","","","","","1","2","95","95","0","100.00"
"Barihapali","","","","","1","3","117","117","0","100.00"
"Barihapali","","","","","1","2","132","132","0","100.00"
"Barikpali","","","","","1","1","120","115","5","95.83"
"Barikpali Tukda","","","","","1","1","51","51","0","100.00"
"Barnaidadar","","","","","1","4","280","280","0","100.00"
"Baroli","","","","","1","3","272","272","0","100.00"
"Baronda Bazar","","","","","1","2","240","234","6","97.50"
"Barpeladih","","","","","1","2","121","121","0","100.00"
"Bartiyabhatha","","","","","1","3","182","182","0","100.00"
"Bartunga","","","","","1","2","184","184","0","100.00"
"Bastipali","","","","","1","1","80","80","0","100.00"
"Basuladabri","","","","","1","1","152","152","0","100.00"
"Batki","","","","","1","4","221","221","0","100.00"
"Batora","","","","","1","2","133","132","1","99.25"
"Bawankera","","","","","1","2","346","341","5","98.55"
"Beharapali","","","","","1","4","158","158","0","100.00"
"Bektikari","","","","","1","3","99","99","0","100.00"
"Belar","","","","","1","1","63","63","0","100.00"
"Belar","","","","","1","1","104","104","0","100.00"
"Beldih","","","","","1","2","294","294","0","100.00"
"Beldih","","","","","1","3","114","114","0","100.00"
"Beldihpathar","","","","","1","2","60","60","0","100.00"
"Belmundi","","","","","1","5","215","215","0","100.00"
"Belsonda","","","","","1","5","238","238","0","100.00"
"Beltikri","","","","","1","1","49","44","5","89.80"
"Beltukri","","","","","1","1","378","377","1","99.74"
"Bemcha","","","","","1","4","604","604","0","100.00"
"Bendari","","","","","1","2","94","94","0","100.00"
"Bendridih Viran","","","","","1","1","10","10","0","100.00"
"Bhadarpali","","","","","1","2","106","106","0","100.00"
"Bhadarsi","","","","","1","1","223","223","0","100.00"
"Bhainsakhuri","","","","","1","3","157","157","0","100.00"
"Bhairopur","","","","","1","1","117","109","8","93.16"
"Bhajpuri","","","","","1","2","143","143","0","100.00"
"Bhalesar","","","","","1","1","191","189","2","98.95"
"Bhalesar","","","","","1","3","294","294","0","100.00"
"Bhalu Chuwa","","","","","1","2","99","99","0","100.00"
"Bhaluchuwa","","","","","1","3","137","137","0","100.00"
"Bhalukona","","","","","1","2","116","116","0","100.00"
"Bhalukona","","","","","1","3","56","56","0","100.00"
"Bhalukona (Bhalukonha)","","","","","1","1","16","16","0","100.00"
"Bhanwarpur","","","","","1","9","818","778","40","95.11"
"Bharuwamuda","","","","","1","1","138","138","0","100.00"
"Bhaskarapali","","","","","1","1","114","114","0","100.00"
"Bhatgaon","","","","","1","1","107","107","0","100.00"
"Bhatgaon","","","","","1","2","53","53","0","100.00"
"Bhathori","","","","","1","2","111","111","0","100.00"
"Bhatkhunda","","","","","1","5","198","198","0","100.00"
"Bhauradadar","","","","","1","1","107","107","0","100.00"
"Bhawa","","","","","1","1","165","165","0","100.00"
"Bhawarchuwa","","","","","1","2","76","76","0","100.00"
"Bhawarchuwa Tukda","","","","","1","2","64","64","0","100.00"
"Bhikhapali","","","","","1","2","149","149","0","100.00"
"Bhikhapali","","","","","1","1","161","159","2","98.76"
"Bhikhapali","","","","","1","3","189","189","0","100.00"
"Bhilai Dadar Kalan","","","","","1","1","130","130","0","100.00"
"Bhimkhoj","","","","","1","3","136","136","0","100.00"
"Bhitidih","","","","","1","4","267","263","4","98.50"
"Bhoharpar","","","","","1","2","147","147","0","100.00"
"Bhoinabahara Kalan","","","","","1","1","139","139","0","100.00"
"Bhokaludih","","","","","1","1","260","255","5","98.08"
"Bhoring","","","","","1","2","494","494","0","100.00"
"Bhotha","","","","","1","4","137","137","0","100.00"
"Bhothaldih","","","","","1","6","283","283","0","100.00"
"Bhukel","","","","","1","3","162","162","0","100.00"
"Bhulka","","","","","1","1","50","50","0","100.00"
"Bhuneswarpur","","","","","1","1","28","28","0","100.00"
"Bhurka","","","","","1","1","145","145","0","100.00"
"Bhurkoni","","","","","1","3","355","350","5","98.59"
"Bhursapali","","","","","1","2","92","92","0","100.00"
"Bhuthabhara","","","","","1","3","111","111","0","100.00"
"Bhuthiya","","","","","1","4","221","221","0","100.00"
"Bichhiya","","","","","1","3","127","127","0","100.00"
"Bichhiya","","","","","1","6","312","312","0","100.00"
"Bichhladadar","","","","","1","2","72","72","0","100.00"
"Bidora","","","","","1","1","129","129","0","100.00"
"Bihajhar","","","","","1","1","153","153","0","100.00"
"Bijarapali (Banjkata)","","","","","1","1","116","116","0","100.00"
"Bijatipali","","","","","1","1","167","167","0","100.00"
"Bijemal","","","","","1","1","150","150","0","100.00"
"Bijepur","","","","","1","1","112","112","0","100.00"
"Bijra Bhatha","","","","","1","1","40","39","1","97.50"
"Bijrabhantha","","","","","1","1","70","70","0","100.00"
"Bijrabhata","","","","","1","6","216","216","0","100.00"
"Bijradih","","","","","1","1","48","48","0","100.00"
"Bilaigarh","","","","","1","2","107","107","0","100.00"
"Bilkhand","","","","","1","4","185","185","0","100.00"
"Bindrawan","","","","","1","3","277","277","0","100.00"
"Bir Bira","","","","","1","1","81","79","2","97.53"
"Birajpali","","","","","1","2","153","153","0","100.00"
"Birajpali","","","","","1","2","161","161","0","100.00"
"Birendabari","","","","","1","3","103","103","0","100.00"
"Birkol","","","","","1","4","223","223","0","100.00"
"Birkoni","","","","","1","4","832","832","0","100.00"
"Birsingh Pali","","","","","1","2","82","82","0","100.00"
"Birsingpali","","","","","1","4","88","88","0","100.00"
"Bitangipali","","","","","1","3","153","153","0","100.00"
"Bodapali","","","","","1","2","87","87","0","100.00"
"Bodesara","","","","","1","4","203","203","0","100.00"
"Bodra","","","","","1","2","136","129","7","94.85"
"Bodrabhandha","","","","","1","1","73","73","0","100.00"
"Bodridadar","","","","","1","2","127","127","0","100.00"
"Bohardih","","","","","1","3","60","60","0","100.00"
"Boirgaon","","","","","1","1","157","155","2","98.73"
"Boirgaon","","","","","1","2","193","191","2","98.96"
"Boirlami","","","","","1","1","93","83","10","89.25"
"Bokramuda Kalan","","","","","1","1","106","106","0","100.00"
"Bokramuda Khurd","","","","","1","7","170","170","0","100.00"
"Bondanawa Pali","","","","","1","4","396","396","0","100.00"
"Borid","","","","","1","1","67","67","0","100.00"
"Boriyajhar","","","","","1","2","334","334","0","100.00"
"Bramhanpuri","","","","","1","1","120","120","0","100.00"
"Brekel","","","","","1","3","159","159","0","100.00"
"Budhudongar","","","","","1","2","95","91","4","95.79"
"Bundelabhatha","","","","","1","3","107","103","4","96.26"
"Bundeli","","","","","1","5","666","666","0","100.00"
