"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Auraiya Dei","","","","","1","1","73","6","67","8.22"
"Auraiya Dewa","","","","","1","1","48","41","7","85.42"
"Ausan","","","","","1","1","157","92","65","58.60"
"Awnkhara","","","","","1","1","347","114","233","32.85"
"Babhani Kalan","1","1","0","0","1","1","122","0","122","0.00"
"Babhaniawan","","","","","1","1","77","15","62","19.48"
"Babhniawan","","","","","1","1","185","43","142","23.24"
"Babura","","","","","1","1","186","105","81","56.45"
"Baddha","","","","","1","1","313","125","188","39.94"
"Bagahi","","","","","1","1","13","5","8","38.46"
"Bagarhi","","","","","1","1","105","75","30","71.43"
"Bagchhara","","","","","1","1","95","52","43","54.74"
"Baghaila","","","","","1","1","55","0","55","0.00"
"Baghaila","","","","","1","1","114","85","29","74.56"
"Baghauta","","","","","1","1","30","0","30","0.00"
"Baghi","","","","","1","1","97","44","53","45.36"
"Baghi","","","","","1","1","59","53","6","89.83"
"Baghi","","","","","1","1","11","2","9","18.18"
"Baghni","","","","","1","3","413","70","343","16.95"
"Baghni","","","","","1","1","645","165","480","25.58"
"Bagra","","","","","1","1","17","17","0","100.00"
"Bahabar","","","","","1","1","11","0","11","0.00"
"Bahadag","","","","","1","1","87","0","87","0.00"
"Bahadura","","","","","1","1","101","44","57","43.56"
"Bahdura","","","","","1","1","26","15","11","57.69"
"Bahdura","","","","","1","1","43","6","37","13.95"
"Bahera","","","","","1","1","28","1","27","3.57"
"Bahera","","","","","1","1","33","0","33","0.00"
"Bahera","","","","","1","1","318","183","135","57.55"
"Bahera","","","","","1","1","91","47","44","51.65"
"Bahera","","","","","1","1","12","5","7","41.67"
"Bahera","","","","","1","1","2","1","1","50.00"
"Baheri","","","","","1","1","110","46","64","41.82"
"Baheri","","","","","1","1","165","0","165","0.00"
"Bahpura","","","","","1","1","45","32","13","71.11"
"Bahuara","","","","","1","1","227","102","125","44.93"
"Bahuara","","","","","1","2","99","28","71","28.28"
"Bahuri","","","","","1","1","39","22","17","56.41"
"Bahuwan","","","","","1","1","386","281","105","72.80"
"Bahuwara","","","","","1","1","106","53","53","50.00"
"Baijnath","","","","","1","1","300","212","88","70.67"
"Baina","","","","","1","1","229","97","132","42.36"
"Bairi","","","","","1","1","102","44","58","43.14"
"Bairi","","","","","1","1","251","36","215","14.34"
"Bairiadih","","","","","1","1","6","0","6","0.00"
"Bairpur","","","","","1","1","2","1","1","50.00"
"Bajardihwa","","","","","1","1","87","33","54","37.93"
"Bajarha","","","","","1","1","122","70","52","57.38"
"Bajarkona","","","","","1","1","58","28","30","48.28"
"Bakharhandh","","","","","1","1","36","10","26","27.78"
"Balpur","","","","","1","1","56","18","38","32.14"
"Balua","","","","","1","1","47","28","19","59.57"
"Balubheria","","","","","1","1","7","0","7","0.00"
"Baluwa","","","","","1","1","38","11","27","28.95"
"Bamhanganwan","","","","","1","2","206","130","76","63.11"
"Bamhangawan","","","","","1","1","4","0","4","0.00"
"Bamhani","","","","","1","1","5","0","5","0.00"
"Bamhaur Panre","","","","","1","1","188","40","148","21.28"
"Bamhaurkhas","","","","","1","1","460","70","390","15.22"
"Banauli","","","","","1","1","62","48","14","77.42"
"Banbahuara","","","","","1","1","145","82","63","56.55"
"Bandha","","","","","1","1","2","0","2","0.00"
"Bandha","","","","","1","2","256","0","256","0.00"
"Bandipur","","","","","1","1","404","217","187","53.71"
"Banjaria","","","","","1","1","16","2","14","12.50"
"Banodag","","","","","1","1","26","0","26","0.00"
"Banrughat","","","","","1","1","39","20","19","51.28"
"Baradih","","","","","1","1","80","7","73","8.75"
"Baragaon Khurd","","","","","1","1","91","0","91","0.00"
"Barahiya","","","","","1","1","14","12","2","85.71"
"Barahni","","","","","1","1","23","3","20","13.04"
"Barahuli","","","","","1","1","116","43","73","37.07"
"Baraitha","","","","","1","1","220","4","216","1.82"
"Baramhtali","","","","","1","1","1","1","0","100.00"
"Barap","1","0","0","1","1","1","129","0","129","0.00"
"Bararhi","","","","","1","1","117","70","47","59.83"
"Bararhi","","","","","1","1","89","2","87","2.25"
"Bararhi","","","","","1","2","19","10","9","52.63"
"Baraura","","","","","1","1","538","232","306","43.12"
"Barawan","","","","","1","1","234","69","165","29.49"
"Barawan","","","","","1","1","68","1","67","1.47"
"Bardiha","","","","","1","1","206","22","184","10.68"
"Bardiha","","","","","1","1","78","0","78","0.00"
"Bare","","","","","1","1","246","56","190","22.76"
"Barej","","","","","1","2","370","184","186","49.73"
"Bargaon Kalan","","","","","1","1","85","0","85","0.00"
"Barharia","","","","","1","1","169","2","167","1.18"
"Barhaulia","","","","","1","1","8","7","1","87.50"
"Barhauna","","","","","1","2","242","135","107","55.79"
"Barhuli","","","","","1","1","158","45","113","28.48"
"Barhupar","","","","","1","4","946","308","638","32.56"
"Bari Takia","","","","","1","1","77","35","42","45.45"
"Barigawan","","","","","1","1","184","64","120","34.78"
"Barikarak","","","","","1","1","32","0","32","0.00"
"Barka Danrowan","","","","","1","1","159","50","109","31.45"
"Barka Deharma","","","","","1","1","33","20","13","60.61"
"Barka Kajhar","","","","","1","1","186","85","101","45.70"
"Barka Nimdihra","","","","","1","1","136","38","98","27.94"
"Barka Sagra","","","","","1","1","122","110","12","90.16"
"Barkagawan","","","","","1","1","375","207","168","55.20"
"Barkakatra","","","","","1","1","695","259","436","37.27"
"Barkakir","","","","","1","2","259","95","164","36.68"
"Barki Kulharia","","","","","1","1","111","1","110","0.90"
"Barli","","","","","1","1","119","14","105","11.76"
"Barna","","","","","1","1","66","17","49","25.76"
"Baruar","","","","","1","1","46","19","27","41.30"
"Baruna","","","","","1","1","13","4","9","30.77"
"Baruna","","","","","1","1","110","34","76","30.91"
"Baruna","","","","","1","1","163","69","94","42.33"
"Baruri","","","","","1","1","214","103","111","48.13"
"Barwan Kalan","","","","","1","1","202","0","202","0.00"
"Barwan Khurd","","","","","1","1","94","0","94","0.00"
"Basaha","","","","","1","1","186","49","137","26.34"
"Basahi","","","","","1","1","189","96","93","50.79"
"Basanpur","","","","","1","1","15","11","4","73.33"
"Basantpur","","","","","1","1","36","22","14","61.11"
"Basantpur","","","","","1","1","105","31","74","29.52"
"Basawanpur","","","","","1","1","3","2","1","66.67"
"Basawanpur","","","","","1","1","67","12","55","17.91"
"Basgitia","","","","","1","1","15","14","1","93.33"
"Basni","","","","","1","1","115","87","28","75.65"
"Basra","","","","","1","1","16","6","10","37.50"
"Bastalwa","","","","","1","1","77","60","17","77.92"
"Basuhari","","","","","1","1","102","27","75","26.47"
"Baurai","","","","","1","1","155","60","95","38.71"
"Bazidpur","","","","","1","1","38","26","12","68.42"
"Bedaman Chak","","","","","1","1","169","107","62","63.31"
"Beguda","","","","","1","1","3","0","3","0.00"
"Belahri","","","","","1","1","121","3","118","2.48"
"Belahri","","","","","1","1","44","6","38","13.64"
"Belarhi","","","","","1","1","301","24","277","7.97"
"Belarhi","","","","","1","1","122","76","46","62.30"
"Belaunri","","","","","1","1","1061","155","906","14.61"
"Belawan","","","","","1","1","294","166","128","56.46"
"Belbhadra","","","","","1","1","15","11","4","73.33"
"Beldih","","","","","1","1","95","54","41","56.84"
"Belkatra","","","","","1","1","1","1","0","100.00"
"Benipur","","","","","1","1","1","0","1","0.00"
"Berra","","","","","1","1","212","211","1","99.53"
"Betri","","","","","1","1","384","233","151","60.68"
"Bhadaini","","","","","1","1","61","26","35","42.62"
"Bhadari","","","","","1","1","317","80","237","25.24"
"Bhadaula","","","","","1","2","542","122","420","22.51"
"Bhadaulia","","","","","1","1","150","53","97","35.33"
"Bhadaura","","","","","1","1","162","112","50","69.14"
"Bhaganda","","","","","1","2","195","0","195","0.00"
"Bhaganda","","","","","1","1","6","0","6","0.00"
"Bhagirathpur","","","","","1","1","43","12","31","27.91"
"Bhagwanpur","","","","","1","1","738","200","538","27.10"
"Bhagwanpur","","","","","1","1","150","60","90","40.00"
"Bhagwatipur","","","","","1","1","56","19","37","33.93"
"Bhainsaula","","","","","1","1","225","187","38","83.11"
"Bhainslot","","","","","1","1","28","28","0","100.00"
"Bhairapur","","","","","1","1","105","13","92","12.38"
"Bhairwa","","","","","1","1","66","53","13","80.30"
"Bhaisahi","","","","","1","1","38","4","34","10.53"
"Bhaluburan","","","","","1","1","98","0","98","0.00"
"Bhaluhan","","","","","1","1","97","67","30","69.07"
"Bhaluhari","","","","","1","1","134","1","133","0.75"
"Bhaluhi","","","","","1","1","1","1","0","100.00"
"Bhaluhi","","","","","1","1","96","13","83","13.54"
"Bhankhanpur","","","","","1","1","67","0","67","0.00"
"Bhanpur","","","","","1","1","148","31","117","20.95"
"Bhanrehra","","","","","1","1","65","0","65","0.00"
"Bharari Kalan","","","","","1","1","319","20","299","6.27"
"Bharaula","","","","","1","1","1","0","1","0.00"
"Bhargawan","","","","","1","1","81","19","62","23.46"
"Bhargawan","","","","","1","1","208","34","174","16.35"
"Bharheria","","","","","1","1","235","81","154","34.47"
"Bharigawan","","","","","1","1","40","23","17","57.50"
"Bharkhar","","","","","1","2","667","304","363","45.58"
"Bharuhiya","","","","","1","1","150","39","111","26.00"
"Bhatani","","","","","1","1","194","36","158","18.56"
"Bhatauli","","","","","1","1","84","75","9","89.29"
"Bhatauli","","","","","1","1","111","42","69","37.84"
"Bhataulia","","","","","1","1","51","25","26","49.02"
"Bhataulia","","","","","1","1","81","6","75","7.41"
"Bhatauni","","","","","1","1","373","60","313","16.09"
"Bhatpurwa","","","","","1","1","77","75","2","97.40"
"Bhatwalia","","","","","1","1","31","27","4","87.10"
"Bhaupur","","","","","1","1","1","1","0","100.00"
"Bhawanipur","","","","","1","1","1","0","1","0.00"
"Bhekas","","","","","1","1","180","36","144","20.00"
"Bheladih","","","","","1","1","119","64","55","53.78"
"Bhelma","","","","","1","1","183","66","117","36.07"
"Bheri","","","","","1","1","112","16","96","14.29"
"Bheria","","","","","1","1","133","45","88","33.83"
"Bhewar","","","","","1","1","216","27","189","12.50"
"Bhirkhira","","","","","1","1","108","17","91","15.74"
"Bhitribandh","","","","","1","1","393","61","332","15.52"
"Bhitti","","","","","1","1","537","247","290","46.00"
"Bhoganpur","","","","","1","1","23","8","15","34.78"
"Bhokhari","","","","","1","2","311","1","310","0.32"
"Bhokhra","","","","","1","1","98","14","84","14.29"
"Bhokhri","","","","","1","1","92","22","70","23.91"
"Bhopatpur","","","","","1","1","29","2","27","6.90"
"Bhopatpur","","","","","1","1","169","69","100","40.83"
"Bhorean","","","","","1","1","228","118","110","51.75"
"Bhualpur","","","","","1","1","113","41","72","36.28"
"Bhuiphor","","","","","1","1","89","0","89","0.00"
"Bhundi Tekari","","","","","1","1","123","66","57","53.66"
"Bhunrwa","","","","","1","1","72","59","13","81.94"
"Bhurkura","","","","","1","1","33","0","33","0.00"
"Bichhiya","","","","","1","1","355","159","196","44.79"
"Bichhiya","","","","","1","1","172","34","138","19.77"
"Biddi","","","","","1","1","177","104","73","58.76"
"Biduri","","","","","1","1","86","0","86","0.00"
"Bijra","","","","","1","1","68","11","57","16.18"
"Bilkhori","1","1","0","0","1","1","48","31","17","64.58"
"Binodpur","","","","","1","1","35","11","24","31.43"
"Birbhanpur","","","","","1","1","26","9","17","34.62"
"Birbhanpur","","","","","1","1","153","2","151","1.31"
"Birna","","","","","1","1","45","25","20","55.56"
"Biro","","","","","1","1","72","16","56","22.22"
"Bishunathpur","","","","","1","1","11","8","3","72.73"
"Bishunpura","","","","","1","1","24","15","9","62.50"
"Bishunpura","","","","","1","1","66","21","45","31.82"
"Bishunpura","","","","","1","1","121","86","35","71.07"
"Bishunpura","","","","","1","2","27","21","6","77.78"
"Bisunpura","","","","","1","1","29","25","4","86.21"
"Bithalpur","","","","","1","1","15","9","6","60.00"
"Bithwar","","","","","1","1","74","5","69","6.76"
"Biur","","","","","1","3","253","46","207","18.18"
"Biuri","","","","","1","1","271","104","167","38.38"
"Bogadahan","","","","","1","1","2","1","1","50.00"
"Bucha","","","","","1","1","161","20","141","12.42"
"Burahar","","","","","1","1","20","20","0","100.00"
"Burhbarawan","","","","","1","1","4","1","3","25.00"
"Burhwalia","","","","","1","1","126","68","58","53.97"
"Chahria","","","","","1","3","435","247","188","56.78"
"Chainpur","","","","","1","4","1030","590","440","57.28"
"Chakedehra","1","1","0","0","1","1","35","34","1","97.14"
"Chakia","","","","","1","5","486","220","266","45.27"
"Chakkupur","","","","","1","1","19","16","3","84.21"
"Chamariawan","","","","","1","1","91","68","23","74.73"
"Chand","","","","","1","2","756","312","444","41.27"
"Chanda","","","","","1","1","279","43","236","15.41"
"Chanda","","","","","1","1","78","23","55","29.49"
"Chandes","","","","","1","1","273","108","165","39.56"
"Chandes","","","","","1","1","102","42","60","41.18"
"Chandoraiya","","","","","1","1","294","32","262","10.88"
"Chandraui","","","","","1","1","33","21","12","63.64"
"Chandwa","","","","","1","1","30","24","6","80.00"
"Chanela","","","","","1","1","34","10","24","29.41"
"Chanos","","","","","1","1","231","126","105","54.55"
"Chanpura","1","1","0","0","1","1","493","61","432","12.37"
"Chanrudean","","","","","1","1","10","10","0","100.00"
"Chanrui","","","","","1","1","71","32","39","45.07"
"Chanwakh","","","","","1","2","46","30","16","65.22"
"Chaphana","","","","","1","1","106","0","106","0.00"
"Chaprang","","","","","1","1","271","132","139","48.71"
"Charki English","","","","","1","1","29","9","20","31.03"
"Chathans","","","","","1","1","34","0","34","0.00"
"Chaubepur","","","","","1","1","107","32","75","29.91"
"Chaudharna","","","","","1","1","134","1","133","0.75"
"Chaukhara","","","","","1","1","54","16","38","29.63"
"Chauri","","","","","1","1","276","34","242","12.32"
"Chauthi","","","","","1","1","23","0","23","0.00"
"Chaya","","","","","1","1","71","0","71","0.00"
"Chhajupur","","","","","1","1","11","9","2","81.82"
"Chhapri","","","","","1","1","29","0","29","0.00"
"Chhata","","","","","1","2","401","84","317","20.95"
"Chhata Bararhi","","","","","1","1","187","139","48","74.33"
"Chhatarpura","","","","","1","1","155","41","114","26.45"
"Chhatauna","","","","","1","1","43","34","9","79.07"
"Chhawan","","","","","1","1","320","34","286","10.63"
"Chhewari","","","","","1","1","323","204","119","63.16"
"Chhotka Deharma","","","","","1","1","56","23","33","41.07"
"Chhotka Kajhar","","","","","1","1","40","33","7","82.50"
"Chhotka Nimdihra","","","","","1","1","90","42","48","46.67"
"Chhotkakir","","","","","1","1","51","33","18","64.71"
"Chhotki Bharari","","","","","1","1","229","12","217","5.24"
"Chhotki Kulharia","","","","","1","1","211","36","175","17.06"
"Chibili","","","","","1","4","567","194","373","34.22"
"Chikta","","","","","1","1","39","0","39","0.00"
"Chintamanpur","","","","","1","1","1","0","1","0.00"
"Chintamanpur","","","","","1","1","92","42","50","45.65"
"Chipali","","","","","1","1","44","4","40","9.09"
"Chitahan","","","","","1","1","49","28","21","57.14"
"Chitarhi","","","","","1","1","108","31","77","28.70"
"Chitarhi","","","","","1","1","52","28","24","53.85"
"Chogara","","","","","1","1","108","32","76","29.63"
"Chordehra","","","","","1","1","44","10","34","22.73"
"Chorghatia","","","","","1","1","65","55","10","84.62"
"Chorpanian","","","","","1","1","37","0","37","0.00"
"Chotka Katra","","","","","1","1","105","28","77","26.67"
"Chuan","","","","","1","1","173","39","134","22.54"
"Chumurka","","","","","1","1","32","0","32","0.00"
"Dabrahiya","","","","","1","1","180","52","128","28.89"
"Dadar","","","","","1","1","427","145","282","33.96"
"Dadra","","","","","1","1","148","12","136","8.11"
"Dahar","","","","","1","1","186","0","186","0.00"
"Dahiyawan","","","","","1","2","125","74","51","59.20"
"Dahla","","","","","1","1","265","182","83","68.68"
"Dahrak","","","","","1","1","554","349","205","63.00"
"Dalippur","1","1","0","0","1","1","52","19","33","36.54"
"Dalopur","","","","","1","1","38","2","36","5.26"
"Damarpur","","","","","1","1","15","3","12","20.00"
"Damodarpur","","","","","1","1","84","46","38","54.76"
"Damodarpur","","","","","1","1","54","15","39","27.78"
"Damodarpur","","","","","1","1","106","11","95","10.38"
"Dandwas","","","","","1","1","377","96","281","25.46"
"Dangri","","","","","1","1","145","83","62","57.24"
"Danialpur kurai","","","","","1","1","186","44","142","23.66"
"Danrori","","","","","1","1","89","58","31","65.17"
"Danrwa","","","","","1","1","69","68","1","98.55"
"Danrwa","","","","","1","1","53","53","0","100.00"
"Danrwa","","","","","1","1","43","19","24","44.19"
"Danrwa","","","","","1","1","51","50","1","98.04"
"Darauli","","","","","1","1","202","61","141","30.20"
"Darauli","","","","","1","1","117","72","45","61.54"
"Darauli","","","","","1","1","212","95","117","44.81"
"Dariawan","","","","","1","1","23","12","11","52.17"
"Daridih","","","","","1","1","128","47","81","36.72"
"Darihara","","","","","1","1","43","0","43","0.00"
"Darunpur","","","","","1","1","71","37","34","52.11"
"Darwansurat","","","","","1","1","325","42","283","12.92"
"Dasoti","","","","","1","1","285","98","187","34.39"
"Datiawan","","","","","1","1","249","179","70","71.89"
"Dawanpur","","","","","1","1","89","29","60","32.58"
"Debahalia","","","","","1","1","459","188","271","40.96"
"Debra","","","","","1","1","50","21","29","42.00"
"Denawan","","","","","1","1","72","8","64","11.11"
"Deokali","","","","","1","1","101","61","40","60.40"
"Deoraha","","","","","1","1","4","3","1","75.00"
"Deorarh","","","","","1","2","537","280","257","52.14"
"Derwan","","","","","1","1","196","55","141","28.06"
"Desarna","","","","","1","1","67","0","67","0.00"
"Deua","","","","","1","1","102","69","33","67.65"
"Deuria","","","","","1","5","261","90","171","34.48"
"Dewaria","","","","","1","1","87","50","37","57.47"
"Dewarji Kalan","","","","","1","1","122","88","34","72.13"
"Dewarji Khurd","","","","","1","1","95","76","19","80.00"
"Dewasdehra","","","","","1","1","93","49","44","52.69"
"Dewkali","","","","","1","1","319","64","255","20.06"
"Dewri","","","","","1","1","108","0","108","0.00"
"Dhan Saray","","","","","1","1","79","0","79","0.00"
"Dhanarhi","","","","","1","1","148","57","91","38.51"
"Dhanautia","","","","","1","1","65","34","31","52.31"
"Dhangarha","","","","","1","1","36","3","33","8.33"
"Dhanichha","","","","","1","1","365","130","235","35.62"
"Dhanipur","","","","","1","1","56","29","27","51.79"
"Dharahra","","","","","1","1","217","51","166","23.50"
"Dharahra","","","","","1","1","139","7","132","5.04"
"Dharampura","","","","","1","1","54","41","13","75.93"
"Dharchali","","","","","1","1","122","64","58","52.46"
"Dharhanian","","","","","1","1","75","25","50","33.33"
"Dharhar","","","","","1","1","183","77","106","42.08"
"Dharhua","","","","","1","1","191","6","185","3.14"
"Dharwar","","","","","1","1","30","20","10","66.67"
"Dhaturha","","","","","1","1","12","10","2","83.33"
"Dhaupokhar","","","","","1","1","95","46","49","48.42"
"Dhekahri","","","","","1","1","19","17","2","89.47"
"Dhenuan","","","","","1","1","12","0","12","0.00"
"Dhobaha Pachhim Patti","","","","","1","1","39","34","5","87.18"
"Dhobaha Purab  Patti","","","","","1","1","62","58","4","93.55"
"Dhonrhi","","","","","1","1","44","16","28","36.36"
"Dhumardeo","","","","","1","1","68","0","68","0.00"
"Dia","","","","","1","1","149","34","115","22.82"
"Digghi","","","","","1","1","118","40","78","33.90"
"Dighar","","","","","1","1","270","0","270","0.00"
"Dih Bhujaina","","","","","1","2","418","91","327","21.77"
