MDDS STC,STATE NAME,MDDS DTC,DISTRICT NAME,MDDS Sub_DT,SUB-DISTRICT NAME,MDDS PLCN,Area Name,HH,eHH
29,KARNATAKA,555,Belgaum,5433,Chikodi,597114,Hadnal,383,364
29,KARNATAKA,555,Belgaum,5433,Chikodi,597115,Sulagaon,317,316
29,KARNATAKA,555,Belgaum,5433,Chikodi,597116,Mattiwade,158,155
29,KARNATAKA,555,Belgaum,5433,Chikodi,597117,Bhatnaganur,204,184
29,KARNATAKA,555,Belgaum,5433,Chikodi,597118,Kurli,1022,1022
29,KARNATAKA,555,Belgaum,5433,Chikodi,597119,Appachiwadi,1718,1521
29,KARNATAKA,555,Belgaum,5433,Chikodi,597120,Koganoli,3313,3131
29,KARNATAKA,555,Belgaum,5433,Chikodi,597121,Hanabarawadi,288,219
29,KARNATAKA,555,Belgaum,5433,Chikodi,597122,Hanchinal (K.S.),1176,1040
29,KARNATAKA,555,Belgaum,5433,Chikodi,597123,Benadi,1393,1336
29,KARNATAKA,555,Belgaum,5433,Chikodi,597124,Bolewadi,219,199
29,KARNATAKA,555,Belgaum,5433,Chikodi,597125,Akkol,1593,1537
29,KARNATAKA,555,Belgaum,5433,Chikodi,597126,Padlihal,373,346
29,KARNATAKA,555,Belgaum,5433,Chikodi,597127,Lakhanapur,794,708
29,KARNATAKA,555,Belgaum,5433,Chikodi,597128,Jatrat,1365,1181
29,KARNATAKA,555,Belgaum,5433,Chikodi,597129,Adi,1296,1112
29,KARNATAKA,555,Belgaum,5433,Chikodi,597130,Bhivashi,378,363
29,KARNATAKA,555,Belgaum,5433,Chikodi,597131,Naganur,488,454
29,KARNATAKA,555,Belgaum,5433,Chikodi,597132,Yamagarni,1516,1388
29,KARNATAKA,555,Belgaum,5433,Chikodi,597133,Soundalga,1875,1839
29,KARNATAKA,555,Belgaum,5433,Chikodi,597134,Budihal,377,350
29,KARNATAKA,555,Belgaum,5433,Chikodi,597135,Kodni,1836,1790
29,KARNATAKA,555,Belgaum,5433,Chikodi,597136,Gayakanawadi,306,269
29,KARNATAKA,555,Belgaum,5433,Chikodi,597137,Shirguppi,419,378
29,KARNATAKA,555,Belgaum,5433,Chikodi,597138,Pangeri (B),528,426
29,KARNATAKA,555,Belgaum,5433,Chikodi,597139,Budulmukh,377,367
29,KARNATAKA,555,Belgaum,5433,Chikodi,597140,Shendur,922,825
29,KARNATAKA,555,Belgaum,5433,Chikodi,597141,Gondikuppi,251,203
29,KARNATAKA,555,Belgaum,5433,Chikodi,597142,Yarnal,867,802
29,KARNATAKA,555,Belgaum,5433,Chikodi,597143,Nippani (Rural),1787,1461
29,KARNATAKA,555,Belgaum,5433,Chikodi,597144,Amalzari,191,149
29,KARNATAKA,555,Belgaum,5433,Chikodi,597145,Gavan,306,250
29,KARNATAKA,555,Belgaum,5433,Chikodi,597146,Tavadi,257,250
29,KARNATAKA,555,Belgaum,5433,Chikodi,597147,Manakapur,382,231
29,KARNATAKA,555,Belgaum,5433,Chikodi,597148,Kasanal,1473,1233
29,KARNATAKA,555,Belgaum,5433,Chikodi,597149,Donewadi,191,148
29,KARNATAKA,555,Belgaum,5433,Chikodi,597150,Boragaon,2713,2178
29,KARNATAKA,555,Belgaum,5433,Chikodi,597151,Boragaonwadi,2403,1902
29,KARNATAKA,555,Belgaum,5433,Chikodi,597152,Sadalaga (Rural),5054,4887
29,KARNATAKA,555,Belgaum,5433,Chikodi,597153,Janwad,191,171
29,KARNATAKA,555,Belgaum,5433,Chikodi,597154,Shiradwad,191,58
29,KARNATAKA,555,Belgaum,5433,Chikodi,597155,Karadaga,2118,2005
29,KARNATAKA,555,Belgaum,5433,Chikodi,597156,Barwad,444,382
29,KARNATAKA,555,Belgaum,5433,Chikodi,597157,Mangur,191,57
29,KARNATAKA,555,Belgaum,5433,Chikodi,597158,Kunnur,639,432
29,KARNATAKA,555,Belgaum,5433,Chikodi,597159,Gajabarwadi,178,141
29,KARNATAKA,555,Belgaum,5433,Chikodi,597160,Shivapurawadi,381,302
29,KARNATAKA,555,Belgaum,5433,Chikodi,597161,Bhoj,751,554
29,KARNATAKA,555,Belgaum,5433,Chikodi,597162,Hunnaragi,191,121
29,KARNATAKA,555,Belgaum,5433,Chikodi,597163,Sidnal,191,145
29,KARNATAKA,555,Belgaum,5433,Chikodi,597164,Mamadapur (KL),1103,947
29,KARNATAKA,555,Belgaum,5433,Chikodi,597165,Bhimapurwadi,204,161
29,KARNATAKA,555,Belgaum,5433,Chikodi,597166,Galatga,1235,722
29,KARNATAKA,555,Belgaum,5433,Chikodi,597167,Dilalapurwadi,278,220
29,KARNATAKA,555,Belgaum,5433,Chikodi,597168,Bedkihal,1784,1720
29,KARNATAKA,555,Belgaum,5433,Chikodi,597169,Shamanewadi,1065,944
29,KARNATAKA,555,Belgaum,5433,Chikodi,597170,Nej,255,20
29,KARNATAKA,555,Belgaum,5433,Chikodi,597171,Nagaral,191,32
29,KARNATAKA,555,Belgaum,5433,Chikodi,597172,Nanadiwadi,122,97
29,KARNATAKA,555,Belgaum,5433,Chikodi,597173,Nanadi,377,238
29,KARNATAKA,555,Belgaum,5433,Chikodi,597174,Malikwad,191,123
29,KARNATAKA,555,Belgaum,5433,Chikodi,597175,Examba,1528,852
29,KARNATAKA,555,Belgaum,5433,Chikodi,597176,Kallol,870,705
29,KARNATAKA,555,Belgaum,5433,Chikodi,597177,Yadyanawadi,380,301
29,KARNATAKA,555,Belgaum,5433,Chikodi,597178,Yadurwadi,418,403
29,KARNATAKA,555,Belgaum,5433,Chikodi,597179,Chandur,1004,857
29,KARNATAKA,555,Belgaum,5433,Chikodi,597180,Chandur - Tek,1279,1272
29,KARNATAKA,555,Belgaum,5433,Chikodi,597181,Yadur,2380,2263
29,KARNATAKA,555,Belgaum,5433,Chikodi,597182,Hosa Yedur,2937,2907
29,KARNATAKA,555,Belgaum,5433,Chikodi,597183,Ingali,2750,2610
29,KARNATAKA,555,Belgaum,5433,Chikodi,597184,Manjari,2586,2497
29,KARNATAKA,555,Belgaum,5433,Chikodi,597185,Manjariwadi,659,534
29,KARNATAKA,555,Belgaum,5433,Chikodi,597186,Ankali,2316,1897
29,KARNATAKA,555,Belgaum,5433,Chikodi,597187,Shiddapurwadi,131,106
29,KARNATAKA,555,Belgaum,5433,Chikodi,597188,Kadapur,1008,916
29,KARNATAKA,555,Belgaum,5433,Chikodi,597189,Jodakurli,762,726
29,KARNATAKA,555,Belgaum,5433,Chikodi,597190,Kerur,4464,4327
29,KARNATAKA,555,Belgaum,5433,Chikodi,597191,Roopanal,347,329
29,KARNATAKA,555,Belgaum,5433,Chikodi,597192,Hirekudi,2351,2248
29,KARNATAKA,555,Belgaum,5433,Chikodi,597193,Chikodi (Rural),111,100
29,KARNATAKA,555,Belgaum,5433,Chikodi,597194,Kuppanawadi,1065,1012
29,KARNATAKA,555,Belgaum,5433,Chikodi,597195,Girgaon,223,172
29,KARNATAKA,555,Belgaum,5433,Chikodi,597196,Shirgaon,1902,1746
29,KARNATAKA,555,Belgaum,5433,Chikodi,597197,Shiragaonwadi,264,214
29,KARNATAKA,555,Belgaum,5433,Chikodi,597199,Thapakarwadi,257,208
29,KARNATAKA,555,Belgaum,5433,Chikodi,597200,Pangire (A),556,495
29,KARNATAKA,555,Belgaum,5433,Chikodi,597201,Rampur,347,292
29,KARNATAKA,555,Belgaum,5433,Chikodi,597202,Chikalwal,1683,1461
29,KARNATAKA,555,Belgaum,5433,Chikodi,597203,Manuchiwadi,147,119
29,KARNATAKA,555,Belgaum,5433,Chikodi,597204,Sankanwadi,261,212
29,KARNATAKA,555,Belgaum,5433,Chikodi,597205,Navalihal,497,438
29,KARNATAKA,555,Belgaum,5433,Chikodi,597206,Peerawadi,1104,1084
29,KARNATAKA,555,Belgaum,5433,Chikodi,597207,Pattankudi,1912,1604
29,KARNATAKA,555,Belgaum,5433,Chikodi,597208,Walki,766,595
29,KARNATAKA,555,Belgaum,5433,Chikodi,597209,Yadyanawadi,418,339
29,KARNATAKA,555,Belgaum,5433,Chikodi,597210,Nainglaj,1131,913
29,KARNATAKA,555,Belgaum,5433,Chikodi,597211,Dhulaganawadi,108,48
29,KARNATAKA,555,Belgaum,5433,Chikodi,597212,Kuthali,297,241
29,KARNATAKA,555,Belgaum,5433,Chikodi,597213,Kothali,769,660
29,KARNATAKA,555,Belgaum,5433,Chikodi,597214,Chinchani,1273,829
29,KARNATAKA,555,Belgaum,5433,Chikodi,597215,Handyanwadi,517,498
29,KARNATAKA,555,Belgaum,5433,Chikodi,597216,Umrani,767,557
29,KARNATAKA,555,Belgaum,5433,Chikodi,597217,Itnal,288,216
29,KARNATAKA,555,Belgaum,5433,Chikodi,597218,Nagaramunnoli,1039,665
29,KARNATAKA,555,Belgaum,5433,Chikodi,597219,Belkud,575,376
29,KARNATAKA,555,Belgaum,5433,Chikodi,597220,Bambalwad,967,659
29,KARNATAKA,555,Belgaum,5433,Chikodi,597221,Kungatolli,294,244
29,KARNATAKA,555,Belgaum,5433,Chikodi,597222,Karoshi,1815,1549
29,KARNATAKA,555,Belgaum,5433,Chikodi,597223,Jainapur,668,634
29,KARNATAKA,555,Belgaum,5433,Chikodi,597224,Toranahalli,392,318
29,KARNATAKA,555,Belgaum,5433,Chikodi,597225,Bidrahalli,249,193
29,KARNATAKA,555,Belgaum,5433,Chikodi,597226,Hattarwat,428,319
29,KARNATAKA,555,Belgaum,5433,Chikodi,597227,Mangnur,307,286
29,KARNATAKA,555,Belgaum,5433,Chikodi,597228,Wadral,443,325
29,KARNATAKA,555,Belgaum,5433,Chikodi,597229,Majalatti,243,228
29,KARNATAKA,555,Belgaum,5433,Chikodi,597230,Khajagoudanhatti,218,179
29,KARNATAKA,555,Belgaum,5433,Chikodi,597231,Mugali,546,440
29,KARNATAKA,555,Belgaum,5433,Chikodi,597232,Kamatyanahatti ,491,478
29,KARNATAKA,555,Belgaum,5433,Chikodi,597233,Bennihalli,147,137
29,KARNATAKA,555,Belgaum,5433,Chikodi,597234,Karagaon,930,797
29,KARNATAKA,555,Belgaum,5433,Chikodi,597235,Donawad,113,88
29,KARNATAKA,555,Belgaum,5433,Chikodi,597236,Hanchinal (K.K.),715,677
29,KARNATAKA,555,Belgaum,5433,Chikodi,597237,Belagali,208,169
29,KARNATAKA,555,Belgaum,5433,Chikodi,597238,Kenchanatti,451,447
29,KARNATAKA,555,Belgaum,5433,Chikodi,597239,Meerapurhatti,386,316
29,KARNATAKA,555,Belgaum,5433,Chikodi,597241,Jodatti,231,189
29,KARNATAKA,555,Belgaum,5433,Chikodi,597242,Vijayanagar,450,450
29,KARNATAKA,555,Belgaum,5433,Chikodi,597243,Pogatyanatti,51,47
29,KARNATAKA,555,Belgaum,5433,Chikodi,597244,Jaganur,1537,1195
29,KARNATAKA,555,Belgaum,5433,Chikodi,597245,Mamadapur (Kk),1580,1436
29,KARNATAKA,555,Belgaum,5434,Athni,597246,Pandegaon,407,347
29,KARNATAKA,555,Belgaum,5434,Athni,597247,Khilegaon,1300,1112
29,KARNATAKA,555,Belgaum,5434,Athni,597248,Ajur,898,807
29,KARNATAKA,555,Belgaum,5434,Athni,597249,Anantapur,1465,964
29,KARNATAKA,555,Belgaum,5434,Athni,597250,Malabad,1068,933
29,KARNATAKA,555,Belgaum,5434,Athni,597251,Bevanoor,133,5
29,KARNATAKA,555,Belgaum,5434,Athni,597252,Tawashi,385,266
29,KARNATAKA,555,Belgaum,5434,Athni,597253,Naganur P.A.,700,457
29,KARNATAKA,555,Belgaum,5434,Athni,597254,Shirur,992,806
29,KARNATAKA,555,Belgaum,5434,Athni,597256,Aralihatti,654,481
29,KARNATAKA,555,Belgaum,5434,Athni,597257,Bammanal,131,20
29,KARNATAKA,555,Belgaum,5434,Athni,597258,Vishnuvadi,137,13
29,KARNATAKA,555,Belgaum,5434,Athni,597259,Jakkaratti,405,321
29,KARNATAKA,555,Belgaum,5434,Athni,597260,Jambagi,1415,1035
29,KARNATAKA,555,Belgaum,5434,Athni,597261,Kallotti,305,258
29,KARNATAKA,555,Belgaum,5434,Athni,597262,Kiranagi,497,371
29,KARNATAKA,555,Belgaum,5434,Athni,597264,Gundewadi,1245,1070
29,KARNATAKA,555,Belgaum,5434,Athni,597265,Shivanoor,239,23
29,KARNATAKA,555,Belgaum,5434,Athni,597267,Tevaratti,230,189
29,KARNATAKA,555,Belgaum,5434,Athni,597268,Siddewadi,685,685
29,KARNATAKA,555,Belgaum,5434,Athni,597269,Hanamapur,319,167
29,KARNATAKA,555,Belgaum,5434,Athni,597270,Agrani-Ingalgaon,507,447
29,KARNATAKA,555,Belgaum,5434,Athni,597271,Abbihal,579,573
29,KARNATAKA,555,Belgaum,5434,Athni,597273,Mavinahatti,337,337
29,KARNATAKA,555,Belgaum,5434,Athni,597274,Chamakeri,521,264
29,KARNATAKA,555,Belgaum,5434,Athni,597275,Bedarahatti,129,12
29,KARNATAKA,555,Belgaum,5434,Athni,597276,Kagawad,2434,2389
29,KARNATAKA,555,Belgaum,5434,Athni,597277,Mangavati,409,384
29,KARNATAKA,555,Belgaum,5434,Athni,597278,Jugul,2222,2222
29,KARNATAKA,555,Belgaum,5434,Athni,597279,Shahapur,215,196
29,KARNATAKA,555,Belgaum,5434,Athni,597280,Shiraguppi,4187,4110
29,KARNATAKA,555,Belgaum,5434,Athni,597281,Molwad,1701,1700
29,KARNATAKA,555,Belgaum,5434,Athni,597282,Kusnal,550,533
29,KARNATAKA,555,Belgaum,5434,Athni,597283,Ugar Budruk,3090,2768
29,KARNATAKA,555,Belgaum,5434,Athni,597284,Ugar Khurd,7597,6852
29,KARNATAKA,555,Belgaum,5434,Athni,597285,Farida Khanawadi,259,210
29,KARNATAKA,555,Belgaum,5434,Athni,597286,Shedbal ,2933,2923
29,KARNATAKA,555,Belgaum,5434,Athni,597287,Lokur,524,524
29,KARNATAKA,555,Belgaum,5434,Athni,597288,Mangasuli,2617,2514
29,KARNATAKA,555,Belgaum,5434,Athni,597289,Kempwad,1162,1059
29,KARNATAKA,555,Belgaum,5434,Athni,597290,Navalihal,210,184
29,KARNATAKA,555,Belgaum,5434,Athni,597291,Koulgudd,1087,1060
29,KARNATAKA,555,Belgaum,5434,Athni,597292,Mole,1869,1565
29,KARNATAKA,555,Belgaum,5434,Athni,597293,Katral,254,197
29,KARNATAKA,555,Belgaum,5434,Athni,597294,Ainapur,3112,2424
29,KARNATAKA,555,Belgaum,5434,Athni,597295,Krishna Kittur,2226,1949
29,KARNATAKA,555,Belgaum,5434,Athni,597296,Banajawad,28,28
29,KARNATAKA,555,Belgaum,5434,Athni,597297,Muragundi,951,794
29,KARNATAKA,555,Belgaum,5434,Athni,597298,Masarguppi,330,242
29,KARNATAKA,555,Belgaum,5434,Athni,597299,Devaradderahatti,26,9
29,KARNATAKA,555,Belgaum,5434,Athni,597301,Tangadi,781,696
29,KARNATAKA,555,Belgaum,5434,Athni,597302,Shinal,1039,1004
29,KARNATAKA,555,Belgaum,5434,Athni,597303,Sankonahatti,511,301
29,KARNATAKA,555,Belgaum,5434,Athni,597305,Nadi-Ingalgaon,1909,1474
29,KARNATAKA,555,Belgaum,5434,Athni,597306,Teerth,352,299
29,KARNATAKA,555,Belgaum,5434,Athni,597307,Saptasagar,3069,2905
29,KARNATAKA,555,Belgaum,5434,Athni,597308,Chikkud,319,267
29,KARNATAKA,555,Belgaum,5434,Athni,597309,Darur,1805,1450
29,KARNATAKA,555,Belgaum,5434,Athni,597310,Halyal,986,871
29,KARNATAKA,555,Belgaum,5434,Athni,597311,Avarkhod,1312,1204
29,KARNATAKA,555,Belgaum,5434,Athni,597312,Naganur P.K.,2209,2047
29,KARNATAKA,555,Belgaum,5434,Athni,597313,Khavatkoppa,113,47
29,KARNATAKA,555,Belgaum,5434,Athni,597314,Sankaratti,1241,1213
29,KARNATAKA,555,Belgaum,5434,Athni,597315,Shegunshi,1327,1257
29,KARNATAKA,555,Belgaum,5434,Athni,597316,Dodwad,135,113
29,KARNATAKA,555,Belgaum,5434,Athni,597317,Satti,2677,2253
29,KARNATAKA,555,Belgaum,5434,Athni,597318,Radderahatti,295,31
29,KARNATAKA,555,Belgaum,5434,Athni,597319,Nandeshwar,682,589
29,KARNATAKA,555,Belgaum,5434,Athni,597320,Mahishwadgi,1414,1356
29,KARNATAKA,555,Belgaum,5434,Athni,597321,Janawad,595,514
29,KARNATAKA,555,Belgaum,5434,Athni,597322,Savadi,1756,1436
29,KARNATAKA,555,Belgaum,5434,Athni,597323,Ramateerth,250,142
29,KARNATAKA,555,Belgaum,5434,Athni,597324,Kakamari,2472,2371
29,KARNATAKA,555,Belgaum,5434,Athni,597325,Kottalgi,1089,873
29,KARNATAKA,555,Belgaum,5434,Athni,597326,Bannur,320,185
29,KARNATAKA,555,Belgaum,5434,Athni,597327,Telsang,1934,1266
29,KARNATAKA,555,Belgaum,5434,Athni,597328,Kannal,283,88
29,KARNATAKA,555,Belgaum,5434,Athni,597329,Fadatarawadi,515,49
29,KARNATAKA,555,Belgaum,5434,Athni,597331,Kohalli,2414,2013
29,KARNATAKA,555,Belgaum,5434,Athni,597332,Keskaradaddi,613,613
29,KARNATAKA,555,Belgaum,5434,Athni,597333,Adalatti,486,200
29,KARNATAKA,555,Belgaum,5434,Athni,597334,Adahalli,510,322
29,KARNATAKA,555,Belgaum,5434,Athni,597336,Yakkanchi,390,140
29,KARNATAKA,555,Belgaum,5434,Athni,597337,Badachi,620,373
29,KARNATAKA,555,Belgaum,5434,Athni,597338,Desairatti,350,216
29,KARNATAKA,555,Belgaum,5434,Athni,597339,Khotanatti,243,233
29,KARNATAKA,555,Belgaum,5434,Athni,597340,Aratal,1694,1609
29,KARNATAKA,555,Belgaum,5434,Athni,597341,Halalli,495,368
29,KARNATAKA,555,Belgaum,5434,Athni,597342,Badagi,497,405
29,KARNATAKA,555,Belgaum,5434,Athni,597343,Yallammawadi,335,335
29,KARNATAKA,555,Belgaum,5434,Athni,597344,Dhabadhabahatti,183,160
29,KARNATAKA,555,Belgaum,5434,Athni,597346,Buralatti,212,161
29,KARNATAKA,555,Belgaum,5434,Athni,597347,Katageri,1708,1277
29,KARNATAKA,555,Belgaum,5434,Athni,597348,Kodaganoor,497,258
29,KARNATAKA,555,Belgaum,5434,Athni,597349,Nandagaon,1681,1379
29,KARNATAKA,555,Belgaum,5434,Athni,597350,Ghatanatti,318,222
29,KARNATAKA,555,Belgaum,5434,Athni,597351,Balawad,401,308
29,KARNATAKA,555,Belgaum,5434,Athni,597352,Shirahatti,1583,1529
29,KARNATAKA,555,Belgaum,5434,Athni,597353,Junjarwad,680,597
29,KARNATAKA,555,Belgaum,5434,Athni,597354,Suttatti,518,353
29,KARNATAKA,555,Belgaum,5435,Raybag ,597355,Soundatti,1822,1563
29,KARNATAKA,555,Belgaum,5435,Raybag ,597356,Diggewadi (Old),1911,1651
29,KARNATAKA,555,Belgaum,5435,Raybag ,597357,Jalalpur,705,660
29,KARNATAKA,555,Belgaum,5435,Raybag ,597358,Bhiradi,1634,1453
29,KARNATAKA,555,Belgaum,5435,Raybag ,597361,Kanchakarawadi,5477,4650
29,KARNATAKA,555,Belgaum,5435,Raybag ,597362,Yadrav,470,382
29,KARNATAKA,555,Belgaum,5435,Raybag ,597363,Nasalapur,1103,870
29,KARNATAKA,555,Belgaum,5435,Raybag ,597364,Nandikurali,2336,2161
29,KARNATAKA,555,Belgaum,5435,Raybag ,597365,Kempatti,654,578
29,KARNATAKA,555,Belgaum,5435,Raybag ,597366,Mekhali,1390,1160
29,KARNATAKA,555,Belgaum,5435,Raybag ,597367,Maradi,231,160
29,KARNATAKA,555,Belgaum,5435,Raybag ,597368,Devanakatti,158,109
29,KARNATAKA,555,Belgaum,5435,Raybag ,597369,Budihal,438,262
29,KARNATAKA,555,Belgaum,5435,Raybag ,597370,Bavachi,359,45
29,KARNATAKA,555,Belgaum,5435,Raybag ,597372,Nagaral,547,494
29,KARNATAKA,555,Belgaum,5435,Raybag ,597373,Bommanal,470,438
29,KARNATAKA,555,Belgaum,5435,Raybag ,597374,Biranal,241,203
29,KARNATAKA,555,Belgaum,5435,Raybag ,597375,Byakud,595,557
29,KARNATAKA,555,Belgaum,5435,Raybag ,597376,Mavinhonda,250,206
29,KARNATAKA,555,Belgaum,5435,Raybag ,597377,Girinaikwadi,118,78
29,KARNATAKA,555,Belgaum,5435,Raybag ,597378,Jodahatti,705,629
29,KARNATAKA,555,Belgaum,5435,Raybag ,597379,Bhendwad,725,483
29,KARNATAKA,555,Belgaum,5435,Raybag ,597380,Mantur,454,340
29,KARNATAKA,555,Belgaum,5435,Raybag ,597381,Nipanal,1054,894
29,KARNATAKA,555,Belgaum,5435,Raybag ,597382,Kankanawadi,621,426
29,KARNATAKA,555,Belgaum,5435,Raybag ,597383,Kudachi (Rural),5483,4484
29,KARNATAKA,555,Belgaum,5435,Raybag ,597384,Gundwad,352,193
29,KARNATAKA,555,Belgaum,5435,Raybag ,597385,Shiragur ,1167,1125
29,KARNATAKA,555,Belgaum,5435,Raybag ,597386,Paramanandwadi ,1478,1383
29,KARNATAKA,555,Belgaum,5435,Raybag ,597387,Khemalapur,2304,1983
29,KARNATAKA,555,Belgaum,5435,Raybag ,597388,Yelpratti,710,492
29,KARNATAKA,555,Belgaum,5435,Raybag ,597389,Siddapur,633,377
29,KARNATAKA,555,Belgaum,5435,Raybag ,597390,Koligudda,789,729
29,KARNATAKA,555,Belgaum,5435,Raybag ,597391,Yabaratti,494,464
29,KARNATAKA,555,Belgaum,5435,Raybag ,597392,Harugeri,5809,5378
29,KARNATAKA,555,Belgaum,5435,Raybag ,597393,Badabyakud,456,441
29,KARNATAKA,555,Belgaum,5435,Raybag ,597394,Alakhanur,1771,1338
29,KARNATAKA,555,Belgaum,5435,Raybag ,597395,Nilaji,1113,902
29,KARNATAKA,555,Belgaum,5435,Raybag ,597396,Suttatti,821,669
29,KARNATAKA,555,Belgaum,5435,Raybag ,597397,Morab,1912,1451
29,KARNATAKA,555,Belgaum,5435,Raybag ,597399,Nidagundi,1286,948
29,KARNATAKA,555,Belgaum,5435,Raybag ,597400,Alagawadi,1190,1079
29,KARNATAKA,555,Belgaum,5435,Raybag ,597401,Bastwad,667,641
29,KARNATAKA,555,Belgaum,5435,Raybag ,597402,Hidakal,198,49
29,KARNATAKA,555,Belgaum,5435,Raybag ,597404,Khanadal,1422,1184
29,KARNATAKA,555,Belgaum,5435,Raybag ,597406,Katakbhavi,1455,1272
29,KARNATAKA,555,Belgaum,5435,Raybag ,597407,Devapurhatti,249,162
29,KARNATAKA,555,Belgaum,5435,Raybag ,597408,Itanal,1551,1349
29,KARNATAKA,555,Belgaum,5435,Raybag ,597409,Marakudi,1349,1329
29,KARNATAKA,555,Belgaum,5435,Raybag ,597410,Palbhavi,1020,967
29,KARNATAKA,555,Belgaum,5435,Raybag ,597411,Sultanpur,347,286
29,KARNATAKA,555,Belgaum,5435,Raybag ,597412,Handigund,1476,1354
29,KARNATAKA,555,Belgaum,5435,Raybag ,597413,Kappalguddi,859,798
29,KARNATAKA,555,Belgaum,5436,Gokak,597414,Dandapur,400,338
29,KARNATAKA,555,Belgaum,5436,Gokak,597415,Tukkanatti,1513,1145
29,KARNATAKA,555,Belgaum,5436,Gokak,597416,Naganur,2538,2389
29,KARNATAKA,555,Belgaum,5436,Gokak,597417,Mudalgi (Rural),624,552
29,KARNATAKA,555,Belgaum,5436,Gokak,597418,Gurlapur,233,228
29,KARNATAKA,555,Belgaum,5436,Gokak,597419,Hallur,1720,1346
29,KARNATAKA,555,Belgaum,5436,Gokak,597420,Shivapur,1355,1114
29,KARNATAKA,555,Belgaum,5436,Gokak,597421,Khanatti,437,371
29,KARNATAKA,555,Belgaum,5436,Gokak,597422,Munyal,1435,1184
29,KARNATAKA,555,Belgaum,5436,Gokak,597423,Kamaladinni,399,364
29,KARNATAKA,555,Belgaum,5436,Gokak,597424,Rangapur,210,151
29,KARNATAKA,555,Belgaum,5436,Gokak,597425,Dharmatti,754,696
29,KARNATAKA,555,Belgaum,5436,Gokak,597426,Patagundi,792,708
29,KARNATAKA,555,Belgaum,5436,Gokak,597427,Gujanatti,395,300
29,KARNATAKA,555,Belgaum,5436,Gokak,597428,Jokanatti,725,329
29,KARNATAKA,555,Belgaum,5436,Gokak,597429,Kallolli,2783,2609
29,KARNATAKA,555,Belgaum,5436,Gokak,597430,Rajapur,1309,1040
29,KARNATAKA,555,Belgaum,5436,Gokak,597431,Duradundi,1369,1066
29,KARNATAKA,555,Belgaum,5436,Gokak,597432,Ganeshwadi,333,254
29,KARNATAKA,555,Belgaum,5436,Gokak,597433,Badigwad,1582,1397
29,KARNATAKA,555,Belgaum,5436,Gokak,597434,Pamaladinni,1418,1010
29,KARNATAKA,555,Belgaum,5436,Gokak,597435,Mallapur (P.G.),277,127
29,KARNATAKA,555,Belgaum,5436,Gokak,597436,Khanapur,382,279
29,KARNATAKA,555,Belgaum,5436,Gokak,597437,Mutnal,518,385
29,KARNATAKA,555,Belgaum,5436,Gokak,597438,Nandagaon,1623,1430
29,KARNATAKA,555,Belgaum,5436,Gokak,597439,Konnur (Rural),3135,2484
29,KARNATAKA,555,Belgaum,5436,Gokak,597440,Shivapur,242,237
29,KARNATAKA,555,Belgaum,5436,Gokak,597441,Molmanatti,399,267
29,KARNATAKA,555,Belgaum,5436,Gokak,597442,Dhupadal,8950,7921
29,KARNATAKA,555,Belgaum,5436,Gokak,597443,Shindikurbet,2025,1946
29,KARNATAKA,555,Belgaum,5436,Gokak,597444,Arabhavi,2582,2016
29,KARNATAKA,555,Belgaum,5436,Gokak,597445,Lolasur,369,322
29,KARNATAKA,555,Belgaum,5436,Gokak,597446,Basaligundi,344,336
29,KARNATAKA,555,Belgaum,5436,Gokak,597447,Nallanatti,1204,826
29,KARNATAKA,555,Belgaum,5436,Gokak,597448,Sanganakeri,652,552
29,KARNATAKA,555,Belgaum,5436,Gokak,597449,Hanamapur,556,524
29,KARNATAKA,555,Belgaum,5436,Gokak,597450,Balobal,1300,1117
29,KARNATAKA,555,Belgaum,5436,Gokak,597451,Beerangaddi,632,471
29,KARNATAKA,555,Belgaum,5436,Gokak,597452,Hunshyal (P.G.),2282,1830
29,KARNATAKA,555,Belgaum,5436,Gokak,597453,Waderatti,1529,1517
29,KARNATAKA,555,Belgaum,5436,Gokak,597454,Fulagaddi,309,294
29,KARNATAKA,555,Belgaum,5436,Gokak,597455,Masaguppi,1653,1402
29,KARNATAKA,555,Belgaum,5436,Gokak,597456,Godachinamalaki,453,408
29,KARNATAKA,555,Belgaum,5436,Gokak,597457,Shingalapur,1530,1307
29,KARNATAKA,555,Belgaum,5436,Gokak,597458,Gokak (Rural),318,313
29,KARNATAKA,555,Belgaum,5436,Gokak,597459,Maladinni,1342,1204
29,KARNATAKA,555,Belgaum,5436,Gokak,597460,Upparatti,705,698
29,KARNATAKA,555,Belgaum,5436,Gokak,597461,Maradishivapur,105,60
29,KARNATAKA,555,Belgaum,5436,Gokak,597462,Mamadapur,2218,2046
29,KARNATAKA,555,Belgaum,5436,Gokak,597463,Ajjanakatti,261,225
29,KARNATAKA,555,Belgaum,5436,Gokak,597464,Benachinamaradi,639,627
29,KARNATAKA,555,Belgaum,5436,Gokak,597465,Kolavi,979,786
29,KARNATAKA,555,Belgaum,5436,Gokak,597466,Tavag,1398,1057
29,KARNATAKA,555,Belgaum,5436,Gokak,597467,Benachinamardi,963,955
29,KARNATAKA,555,Belgaum,5436,Gokak,597468,Urabinahatti,705,699
29,KARNATAKA,555,Belgaum,5436,Gokak,597469,Shigiholi,576,513
29,KARNATAKA,555,Belgaum,5436,Gokak,597470,Gaddiholi,73,26
